城市名,车系id,车系名称,最低价,最高价,排名,本地销量,评论数,品牌名称,子品牌名称,价格区间,经销商价格
安阳,542,卡罗拉,10.98,15.98,29,29,1157,丰田,一汽丰田,10.98-15.98万,8.78-14.18万
安阳,394,桑塔纳,8.79,11.28,30,29,313,大众,上汽大众,8.79-11.28万,5.69-8.18万
安阳,276,思域,12.99,18.79,31,29,1788,本田,东风本田,12.99-18.79万,11.79-17.59万
安阳,5859,长安Lumin,4.89,6.39,32,28,41,长安,长安汽车,4.89-6.39万,4.89-6.39万
安阳,1455,逸动,7.29,10.39,33,28,1583,长安,长安汽车,7.29-10.39万,6.49-9.79万
安阳,1182,荣威RX5,9.33,15.59,34,27,733,荣威,上汽集团,9.33-15.59万,8.83-15.59万
安阳,4861,奔腾NAT,14.78,16.48,35,26,3,奔腾,一汽奔腾,14.78-16.48万,14.68-16.48万
安阳,3049,秦Pro EV,14.99,20.49,36,26,29,比亚迪,比亚迪,14.99-20.49万,14.99-20.49万
安阳,31,名爵5,6.79,9.99,37,25,845,名爵,上汽集团,6.79-9.99万,6.49-9.69万
安阳,4819,思皓E10X,6.99,8.09,38,24,43,思皓,江汽集团,6.99-8.09万,6.99-8.09万
安阳,3275,哪吒U,12.98,19.98,39,23,164,哪吒汽车,合众汽车,12.98-19.98万,12.98-19.90万
安阳,267,奔腾B70,10.59,14.49,40,23,308,奔腾,一汽奔腾,10.59-14.49万,10.09-13.99万
安阳,4416,奔奔E-Star,2.98,7.48,41,22,217,长安,长安汽车,2.98-7.48万,
安阳,616,传祺GS4,8.98,13.18,42,22,582,广汽传祺,广汽乘用车,8.98-13.18万,8.08-12.28万
安阳,4857,星越L,13.72,18.52,43,21,1734,吉利汽车,吉利汽车,13.72-18.52万,13.72-18.52万
安阳,352,昂科威,20.99,30.99,44,21,1149,别克,上汽通用别克,20.99-30.99万,16.49-26.49万
安阳,4814,AION Y,13.76,18.98,45,20,317,埃安,广汽埃安新能源,13.76-18.98万,13.76-18.98万
安阳,3330,昂科拉GX,15.59,18.59,46,20,145,别克,上汽通用别克,15.59-18.59万,10.79-13.79万
安阳,534,雷凌,11.18,15.28,47,20,1321,丰田,广汽丰田,11.18-15.28万,8.68-12.78万
安阳,404,途观L,19.9,28.38,48,20,697,大众,上汽大众,19.90-28.38万,18.58-26.08万
安阳,3068,亚洲龙,19.98,27.98,49,19,1057,丰田,一汽丰田,19.98-27.98万,17.98-25.98万
安阳,311,唐DM,20.58,32.98,50,19,1054,比亚迪,比亚迪,20.58-32.98万,20.58-32.98万
安阳,1081,艾瑞泽5,5.99,8.58,51,18,397,奇瑞,奇瑞汽车,5.99-8.58万,5.79-8.38万
安阳,733,帝豪,6.99,12.98,52,18,1148,吉利汽车,吉利汽车,6.99-12.98万,6.79-12.78万
安阳,546,RAV4荣放,17.58,26.08,53,18,944,丰田,一汽丰田,17.58-26.08万,16.38-24.08万
安阳,4532,长安欧尚X5,6.99,10.99,54,17,670,长安欧尚,长安汽车,6.99-10.99万,6.99-10.19万
安阳,2832,传祺M6,10.98,15.98,55,17,245,广汽传祺,广汽乘用车,10.98-15.98万,10.18-15.68万
安阳,288,缤智,12.78,17.68,56,17,517,本田,广汽本田,12.78-17.68万,9.78-14.68万
安阳,146,宝马5系,43.39,55.19,57,17,1274,宝马,华晨宝马,43.39-55.19万,37.89-50.69万
安阳,5288,长安UNI-V,10.89,13.99,58,16,842,长安,长安汽车,10.89-13.99万,10.89-13.99万
安阳,2975,缤越,7.58,11.98,59,16,790,吉利汽车,吉利汽车,7.58-11.98万,7.28-11.98万
安阳,1594,哈弗M6,7.19,9.29,60,16,413,哈弗,长城汽车,7.19-9.29万,6.69-8.79万
安阳,4635,欧拉好猫,12.99,17.1,61,15,240,欧拉,长城汽车,12.99-17.10万,12.99-17.10万
安阳,4224,风光E1,6.78,7.38,62,15,1,东风风光,东风小康,6.78-7.38万,6.78-7.38万
安阳,4079,皓影,16.98,25.28,63,15,648,本田,广汽本田,16.98-25.28万,14.58-22.88万
安阳,3476,星瑞,11.37,14.57,64,15,2347,吉利汽车,吉利汽车,11.37-14.57万,11.37-14.57万
安阳,315,宋DM,17.69,28,65,15,36,比亚迪,比亚迪,17.69-28.00万,
安阳,2971,凯迪拉克XT4,26.17,35.47,66,14,539,凯迪拉克,上汽通用凯迪拉克,26.17-35.47万,20.17-34.67万
安阳,1310,伊兰特,9.98,14.18,67,14,799,现代,北京现代,9.98-14.18万,8.48-12.68万
安阳,741,博越,9.18,14.28,68,14,1087,吉利汽车,吉利汽车,9.18-14.28万,7.99-13.28万
安阳,344,英朗,11.99,12.59,69,14,1360,别克,上汽通用别克,11.99-12.59万,7.79-8.39万
安阳,99,奥迪A6L,41.98,65.68,70,14,1133,奥迪,一汽-大众奥迪,41.98-65.68万,36.00-65.68万
安阳,5827,五菱佳辰,6.88,9.98,71,13,26,五菱汽车,上汽通用五菱,6.88-9.98万,6.88-9.98万
安阳,5817,几何E,8.68,10.38,72,13,35,几何汽车,几何汽车,8.68-10.38万,8.68-10.38万
安阳,4787,影豹,9.83,13.68,73,13,613,广汽传祺,广汽乘用车,9.83-13.68万,9.83-13.68万
安阳,4300,汉EV,21.48,32.98,74,13,1057,比亚迪,比亚迪,21.48-32.98万,21.48-32.98万
安阳,4223,长安CS55 PLUS,9.29,12.59,75,13,757,长安,长安汽车,9.29-12.59万,8.49-12.59万
安阳,3196,长安CS75 PLUS,11.79,15.49,76,13,1376,长安,长安汽车,11.79-15.49万,11.29-15.49万
安阳,2835,探岳,20.49,26.49,77,13,715,大众,一汽-大众,20.49-26.49万,17.09-23.49万
安阳,1147,天籁,17.98,26.98,78,13,1760,日产,东风日产,17.98-26.98万,14.98-23.98万
安阳,1094,瑞虎7,8.69,11.29,79,13,544,奇瑞,奇瑞汽车,8.69-11.29万,8.49-11.09万
安阳,5382,卡罗拉锐放,12.98,16.98,80,12,89,丰田,一汽丰田,12.98-16.98万,11.98-15.98万
安阳,4563,哈弗大狗,11.99,16.79,81,12,1093,哈弗,长城汽车,11.99-16.79万,11.49-16.77万
安阳,4342,领克06,11.86,13.98,82,12,545,领克,领克,11.86-13.98万,10.86-13.98万
安阳,2875,英仕派,17.99,25.59,83,12,918,本田,东风本田,17.99-25.59万,15.99-22.59万
安阳,1738,瑞虎5x,6.99,10.09,84,12,285,奇瑞,奇瑞汽车,6.99-10.09万,5.99-9.99万
安阳,1620,别克GL6,14.99,16.99,85,12,148,别克,上汽通用别克,14.99-16.99万,11.49-13.49万
安阳,1355,迈锐宝XL,17.59,21.99,86,12,1211,雪佛兰,上汽通用雪佛兰,17.59-21.99万,13.19-17.59万
安阳,1353,科沃兹,8.39,9.99,87,12,348,雪佛兰,上汽通用雪佛兰,8.39-9.99万,5.04-6.49万
安阳,1143,骐达TIIDA,9.99,13.59,88,12,288,日产,东风日产,9.99-13.59万,8.89-12.49万
安阳,283,飞度,8.18,10.88,89,12,699,本田,广汽本田,8.18-10.88万,7.58-10.28万
安阳,279,本田XR-V,12.79,17.59,90,12,564,本田,东风本田,12.79-17.59万,10.59-15.98万
安阳,4794,奔腾T55,8.59,10.49,91,11,43,奔腾,一汽奔腾,8.59-10.49万,8.09-9.99万
安阳,2928,缤瑞,7.98,10.98,92,11,692,吉利汽车,吉利汽车,7.98-10.98万,7.38-10.98万
安阳,2916,奥迪Q5L,39.68,48.88,93,11,929,奥迪,一汽-大众奥迪,39.68-48.88万,32.50-48.88万
安阳,1794,传祺M8,17.98,36.98,94,11,274,广汽传祺,广汽乘用车,17.98-36.98万,17.98-36.98万
安阳,1701,红旗H5经典,14.58,19.08,95,11,847,红旗,一汽红旗,14.58-19.08万,14.58-19.08万
安阳,1150,逍客,15.49,18.89,96,11,642,日产,东风日产,15.49-18.89万,12.69-17.18万
安阳,533,YARiS L 致炫,8.58,10.38,97,11,274,丰田,广汽丰田,8.58-10.38万,7.78-9.58万
安阳,214,奔驰E级,43.68,55.6,98,11,870,奔驰,北京奔驰,43.68-55.60万,39.51-51.70万
鞍山,542,卡罗拉,10.98,15.98,1,99,1157,丰田,一汽丰田,10.98-15.98万,8.98-14.48万
鞍山,1145,轩逸,9.98,17.49,2,93,1611,日产,东风日产,9.98-17.49万,8.38-16.19万
鞍山,1114,福瑞迪,8.08,10.48,3,84,73,起亚,起亚,8.08-10.48万,7.38-9.78万
鞍山,546,RAV4荣放,17.58,26.08,4,66,944,丰田,一汽丰田,17.58-26.08万,16.58-24.88万
鞍山,409,宝来,9.88,15.7,5,66,1036,大众,一汽-大众,9.88-15.70万,7.18-13.29万
鞍山,4499,五菱宏光MINIEV,3.28,9.99,6,63,507,五菱汽车,上汽通用五菱,3.28-9.99万,3.28-9.99万
鞍山,289,雅阁,16.98,25.98,7,61,2059,本田,广汽本田,16.98-25.98万,16.38-25.38万
鞍山,1150,逍客,15.49,18.89,8,57,642,日产,东风日产,15.49-18.89万,12.49-15.89万
鞍山,415,迈腾,18.69,30.99,9,54,1058,大众,一汽-大众,18.69-30.99万,15.29-27.59万
鞍山,394,桑塔纳,8.79,11.28,10,53,313,大众,上汽大众,8.79-11.28万,5.79-8.28万
鞍山,414,速腾,12.79,17.29,11,48,1658,大众,一汽-大众,12.79-17.29万,10.29-15.89万
鞍山,1311,悦动,8.49,11.59,12,43,205,现代,北京现代,8.49-11.59万,7.49-10.59万
鞍山,2835,探岳,20.49,26.49,13,41,715,大众,一汽-大众,20.49-26.49万,16.09-22.99万
鞍山,649,哈弗H6,9.89,15.7,14,40,1951,哈弗,长城汽车,9.89-15.70万,9.09-15.10万
鞍山,4563,哈弗大狗,11.99,16.79,15,34,1093,哈弗,长城汽车,11.99-16.79万,11.49-16.77万
鞍山,534,雷凌,11.18,15.28,16,32,1321,丰田,广汽丰田,11.18-15.28万,8.98-13.08万
鞍山,5382,卡罗拉锐放,12.98,16.98,17,31,89,丰田,一汽丰田,12.98-16.98万,12.48-16.48万
鞍山,5093,宝骏KiWi EV,7.78,10.28,18,31,104,宝骏,上汽通用五菱,7.78-10.28万,7.78-10.28万
鞍山,1147,天籁,17.98,26.98,19,30,1760,日产,东风日产,17.98-26.98万,14.98-23.98万
鞍山,4079,皓影,16.98,25.28,20,29,648,本田,广汽本田,16.98-25.28万,16.38-24.68万
鞍山,1594,哈弗M6,7.19,9.29,21,29,413,哈弗,长城汽车,7.19-9.29万,6.69-8.79万
鞍山,4172,威兰达,17.18,24.88,22,28,500,丰田,广汽丰田,17.18-24.88万,15.68-24.88万
鞍山,1290,五菱宏光,4.6,5.99,23,27,217,五菱汽车,上汽通用五菱,4.60-5.99万,4.55-5.99万
鞍山,99,奥迪A6L,41.98,65.68,24,27,1133,奥迪,一汽-大众奥迪,41.98-65.68万,36.70-65.68万
鞍山,216,奔驰GLC,40.63,47.68,25,26,686,奔驰,北京奔驰,40.63-47.68万,35.63-42.68万
鞍山,1794,传祺M8,17.98,36.98,26,25,274,广汽传祺,广汽乘用车,17.98-36.98万,17.98-36.98万
鞍山,617,传祺GS8,18.68,26.98,27,23,475,广汽传祺,广汽乘用车,18.68-26.98万,18.68-26.98万
鞍山,292,冠道,22.48,33.28,28,22,424,本田,广汽本田,22.48-33.28万,22.48-33.28万
鞍山,288,缤智,12.78,17.68,29,22,517,本田,广汽本田,12.78-17.68万,10.58-15.48万
鞍山,5223,赛那,30.98,40.58,30,21,102,丰田,广汽丰田,30.98-40.58万,30.98-40.58万
鞍山,2916,奥迪Q5L,39.68,48.88,31,21,929,奥迪,一汽-大众奥迪,39.68-48.88万,33.80-45.18万
鞍山,538,威驰,7.38,9.48,32,21,266,丰田,一汽丰田,7.38-9.48万,6.38-8.48万
鞍山,3041,荣威i5,6.79,9.99,33,20,545,荣威,上汽集团,6.79-9.99万,5.99-9.99万
鞍山,536,汉兰达,26.88,34.88,34,20,671,丰田,广汽丰田,26.88-34.88万,26.88-34.88万
鞍山,535,凯美瑞,17.98,26.98,35,19,1813,丰田,广汽丰田,17.98-26.98万,16.28-26.48万
鞍山,345,威朗,12.99,15.89,36,19,923,别克,上汽通用别克,12.99-15.89万,9.99-12.89万
鞍山,280,本田CR-V,16.98,27.68,37,19,1031,本田,东风本田,16.98-27.68万,15.68-26.38万
鞍山,212,奔驰C级,32.52,37.73,38,19,1052,奔驰,北京奔驰,32.52-37.73万,29.52-34.73万
鞍山,96,奥迪A4L,32.18,39.68,39,19,1850,奥迪,一汽-大众奥迪,32.18-39.68万,26.00-34.55万
鞍山,5859,长安Lumin,4.89,6.39,40,18,41,长安,长安汽车,4.89-6.39万,4.89-6.39万
鞍山,4857,星越L,13.72,18.52,41,18,1734,吉利汽车,吉利汽车,13.72-18.52万,13.72-18.52万
鞍山,2975,缤越,7.58,11.98,42,18,790,吉利汽车,吉利汽车,7.58-11.98万,7.28-11.98万
鞍山,2875,英仕派,17.99,25.59,43,18,918,本田,东风本田,17.99-25.59万,17.99-25.59万
鞍山,393,朗逸,12.09,15.09,44,18,1214,大众,上汽大众,12.09-15.09万,9.59-12.59万
鞍山,4615,坦克300,19.88,28,45,17,536,坦克,长城汽车,19.88-28.00万,19.88-28.00万
鞍山,1182,荣威RX5,9.33,15.59,46,17,733,荣威,上汽集团,9.33-15.59万,8.83-15.59万
鞍山,533,YARiS L 致炫,8.58,10.38,47,17,274,丰田,广汽丰田,8.58-10.38万,7.48-9.28万
鞍山,276,思域,12.99,18.79,48,17,1788,本田,东风本田,12.99-18.79万,12.39-18.79万
鞍山,4802,秦PLUS DM-i,11.18,16.58,49,16,1656,比亚迪,比亚迪,11.18-16.58万,11.18-16.58万
鞍山,4223,长安CS55 PLUS,9.29,12.59,50,16,757,长安,长安汽车,9.29-12.59万,8.49-12.59万
鞍山,3159,红旗HS5,18.38,24.98,51,16,1157,红旗,一汽红旗,18.38-24.98万,18.38-24.98万
鞍山,5443,魔方,9.99,15.39,52,15,39,北京汽车,北京汽车,9.99-15.39万,9.99-15.39万
鞍山,3196,长安CS75 PLUS,11.79,15.49,53,15,1376,长安,长安汽车,11.79-15.49万,11.29-15.49万
鞍山,311,唐DM,20.58,32.98,54,15,1054,比亚迪,比亚迪,20.58-32.98万,20.58-32.98万
鞍山,145,宝马3系,29.39,40.99,55,15,2052,宝马,华晨宝马,29.39-40.99万,26.45-39.99万
鞍山,5439,长安欧尚Z6,9.99,12.99,56,14,109,长安欧尚,长安汽车,9.99-12.99万,9.99-12.99万
鞍山,352,昂科威,20.99,30.99,57,14,1149,别克,上汽通用别克,20.99-30.99万,16.99-26.99万
鞍山,5369,锋兰达,12.58,16.98,58,13,104,丰田,广汽丰田,12.58-16.98万,12.08-16.48万
鞍山,4986,凌放HARRIER,21.18,29.78,59,13,86,丰田,一汽丰田,21.18-29.78万,20.18-28.08万
鞍山,3171,捷达VS5,8.68,11.58,60,13,407,捷达,一汽-大众捷达,8.68-11.58万,7.98-10.88万
鞍山,1123,智跑,13.98,15.78,61,13,327,起亚,起亚,13.98-15.78万,11.98-13.78万
鞍山,410,高尔夫,12.98,22.98,62,13,887,大众,一汽-大众,12.98-22.98万,11.58-21.58万
鞍山,164,北京BJ40,15.98,27.29,63,13,326,北京,北京越野,15.98-27.29万,15.98-27.29万
鞍山,3068,亚洲龙,19.98,27.98,64,12,1057,丰田,一汽丰田,19.98-27.98万,18.48-26.48万
鞍山,1977,T-ROC探歌,15.89,17.79,65,12,437,大众,一汽-大众,15.89-17.79万,12.49-14.39万
鞍山,4840,皇冠陆放,27.58,35.28,66,11,220,丰田,一汽丰田,27.58-35.28万,27.58-35.28万
鞍山,3437,揽境,29.99,40.79,67,11,163,大众,一汽-大众,29.99-40.79万,26.49-37.29万
鞍山,1016,马自达CX-5,17.58,24.58,68,11,526,马自达,长安马自达,17.58-24.58万,15.28-22.28万
鞍山,733,帝豪,6.99,12.98,69,11,1148,吉利汽车,吉利汽车,6.99-12.98万,6.79-12.98万
鞍山,405,途昂,29.5,40.5,70,11,391,大众,上汽大众,29.50-40.50万,27.00-38.20万
鞍山,282,艾力绅,27.98,33.18,71,11,452,本田,东风本田,27.98-33.18万,27.98-33.18万
鞍山,214,奔驰E级,43.68,55.6,72,11,870,奔驰,北京奔驰,43.68-55.60万,39.68-51.60万
安庆,4499,五菱宏光MINIEV,3.28,9.99,1,110,507,五菱汽车,上汽通用五菱,3.28-9.99万,3.28-9.99万
安庆,414,速腾,12.79,17.29,2,70,1658,大众,一汽-大众,12.79-17.29万,10.89-15.89万
安庆,393,朗逸,12.09,15.09,3,70,1214,大众,上汽大众,12.09-15.09万,11.09-14.09万
安庆,1145,轩逸,9.98,17.49,4,60,1611,日产,东风日产,9.98-17.49万,7.48-16.39万
安庆,5008,海豚,10.28,13.08,5,48,347,比亚迪,比亚迪,10.28-13.08万,10.28-13.08万
安庆,535,凯美瑞,17.98,26.98,6,47,1813,丰田,广汽丰田,17.98-26.98万,16.78-25.48万
安庆,145,宝马3系,29.39,40.99,7,47,2052,宝马,华晨宝马,29.39-40.99万,27.09-38.99万
安庆,5257,QQ冰淇淋,3.99,5.752,8,41,54,奇瑞新能源,奇瑞新能源,3.99-5.752万,3.99-5.75万
安庆,398,帕萨特,18.19,25.29,9,40,1176,大众,上汽大众,18.19-25.29万,16.89-25.29万
安庆,96,奥迪A4L,32.18,39.68,10,40,1850,奥迪,一汽-大众奥迪,32.18-39.68万,26.90-33.40万
安庆,146,宝马5系,43.39,55.19,11,39,1274,宝马,华晨宝马,43.39-55.19万,36.99-48.99万
安庆,649,哈弗H6,9.89,15.7,12,38,1951,哈弗,长城汽车,9.89-15.70万,9.09-15.10万
安庆,5859,长安Lumin,4.89,6.39,13,37,41,长安,长安汽车,4.89-6.39万,4.89-6.39万
安庆,2794,瑞虎8,9.58,16.8888,14,35,1012,奇瑞,奇瑞汽车,9.58-16.8888万,8.48-16.29万
安庆,1081,艾瑞泽5,5.99,8.58,15,35,397,奇瑞,奇瑞汽车,5.99-8.58万,5.79-8.38万
安庆,1290,五菱宏光,4.6,5.99,16,34,217,五菱汽车,上汽通用五菱,4.60-5.99万,4.60-5.99万
安庆,345,威朗,12.99,15.89,17,34,923,别克,上汽通用别克,12.99-15.89万,9.49-12.39万
安庆,397,凌渡,15.09,19.09,18,33,577,大众,上汽大众,15.09-19.09万,14.09-18.09万
安庆,1114,福瑞迪,8.08,10.48,19,32,73,起亚,起亚,8.08-10.48万,6.90-9.70万
安庆,404,途观L,19.9,28.38,20,32,697,大众,上汽大众,19.90-28.38万,17.50-25.98万
安庆,5290,驱逐舰 05,11.98,15.58,21,31,327,比亚迪,比亚迪,11.98-15.58万,12.46-16.06万
安庆,4865,宋PLUS DM-i,15.28,21.68,22,30,1974,比亚迪,比亚迪,15.28-21.68万,15.28-21.68万
安庆,214,奔驰E级,43.68,55.6,23,30,870,奔驰,北京奔驰,43.68-55.60万,43.68-55.60万
安庆,2836,途岳,15.86,21.66,24,29,528,大众,上汽大众,15.86-21.66万,13.96-19.76万
安庆,1150,逍客,15.49,18.89,25,29,642,日产,东风日产,15.49-18.89万,12.69-16.09万
安庆,1101,小蚂蚁,7.39,9.4,26,29,193,奇瑞新能源,奇瑞新能源,7.39-9.40万,7.39-9.40万
安庆,733,帝豪,6.99,12.98,27,29,1148,吉利汽车,吉利汽车,6.99-12.98万,6.79-12.68万
安庆,2916,奥迪Q5L,39.68,48.88,28,28,929,奥迪,一汽-大众奥迪,39.68-48.88万,33.80-39.88万
安庆,3476,星瑞,11.37,14.57,29,27,2347,吉利汽车,吉利汽车,11.37-14.57万,11.37-14.57万
安庆,2812,宝马X3,39.69,47.98,30,27,952,宝马,华晨宝马,39.69-47.98万,34.53-40.38万
安庆,1094,瑞虎7,8.69,11.29,31,27,544,奇瑞,奇瑞汽车,8.69-11.29万,8.49-11.09万
安庆,410,高尔夫,12.98,22.98,32,27,887,大众,一汽-大众,12.98-22.98万,12.28-22.28万
安庆,1014,马自达3 昂克赛拉,11.59,18.99,33,26,1777,马自达,长安马自达,11.59-18.99万,10.59-17.99万
安庆,348,君威,19.68,24.98,34,26,1573,别克,上汽通用别克,19.68-24.98万,15.18-24.98万
安庆,5520,瑞虎8 PRO,12.69,17.19,35,25,164,奇瑞,奇瑞汽车,12.69-17.19万,11.99-16.49万
安庆,5248,元PLUS,13.78,16.58,36,25,348,比亚迪,比亚迪,13.78-16.58万,13.78-16.58万
安庆,1310,伊兰特,9.98,14.18,37,25,799,现代,北京现代,9.98-14.18万,9.28-12.28万
安庆,280,本田CR-V,16.98,27.68,38,25,1031,本田,东风本田,16.98-27.68万,15.93-25.63万
安庆,216,奔驰GLC,40.63,47.68,39,25,686,奔驰,北京奔驰,40.63-47.68万,40.63-47.68万
安庆,3736,凯迪拉克CT5,27.97,36.07,40,24,1359,凯迪拉克,上汽通用凯迪拉克,27.97-36.07万,23.97-33.07万
安庆,1147,天籁,17.98,26.98,41,24,1760,日产,东风日产,17.98-26.98万,14.98-23.98万
安庆,4416,奔奔E-Star,2.98,7.48,42,23,217,长安,长安汽车,2.98-7.48万,
安庆,1977,T-ROC探歌,15.89,17.79,43,23,437,大众,一汽-大众,15.89-17.79万,12.69-14.59万
安庆,1455,逸动,7.29,10.39,44,23,1583,长安,长安汽车,7.29-10.39万,6.49-9.79万
安庆,542,卡罗拉,10.98,15.98,45,23,1157,丰田,一汽丰田,10.98-15.98万,8.98-14.78万
安庆,534,雷凌,11.18,15.28,46,23,1321,丰田,广汽丰田,11.18-15.28万,8.48-13.38万
安庆,212,奔驰C级,32.52,37.73,47,23,1052,奔驰,北京奔驰,32.52-37.73万,32.52-37.73万
安庆,95,奥迪A3,20.31,24.97,48,23,730,奥迪,一汽-大众奥迪,20.31-24.97万,16.90-21.20万
安庆,4802,秦PLUS DM-i,11.18,16.58,49,22,1656,比亚迪,比亚迪,11.18-16.58万,11.18-16.58万
安庆,4172,威兰达,17.18,24.88,50,22,500,丰田,广汽丰田,17.18-24.88万,15.18-22.88万
安庆,3196,长安CS75 PLUS,11.79,15.49,51,22,1376,长安,长安汽车,11.79-15.49万,11.29-15.49万
安庆,3159,红旗HS5,18.38,24.98,52,22,1157,红旗,一汽红旗,18.38-24.98万,18.38-24.98万
安庆,394,桑塔纳,8.79,11.28,53,22,313,大众,上汽大众,8.79-11.28万,6.29-8.78万
安庆,289,雅阁,16.98,25.98,54,22,2059,本田,广汽本田,16.98-25.98万,15.98-24.98万
安庆,5369,锋兰达,12.58,16.98,55,21,104,丰田,广汽丰田,12.58-16.98万,11.88-16.28万
安庆,4228,汉DM,21.58,31.98,56,21,1050,比亚迪,比亚迪,21.58-31.98万,21.58-31.98万
安庆,1623,领克03,13.68,25.68,57,21,2179,领克,领克,13.68-25.68万,12.68-25.68万
安庆,1182,荣威RX5,9.33,15.59,58,21,733,荣威,上汽集团,9.33-15.59万,8.83-15.59万
安庆,1282,沃尔沃XC60,37.39,47.49,59,20,1043,沃尔沃,沃尔沃亚太,37.39-47.49万,29.59-39.69万
安庆,5288,长安UNI-V,10.89,13.99,60,19,842,长安,长安汽车,10.89-13.99万,10.89-13.99万
安庆,409,宝来,9.88,15.7,61,19,1036,大众,一汽-大众,9.88-15.70万,7.98-13.29万
安庆,344,英朗,11.99,12.59,62,19,1360,别克,上汽通用别克,11.99-12.59万,7.49-8.09万
安庆,5273,宝马X5,60.5,77.5,63,18,64,宝马,华晨宝马,60.50-77.50万,58.69-77.50万
安庆,4635,欧拉好猫,12.99,17.1,64,18,240,欧拉,长城汽车,12.99-17.10万,12.99-17.10万
安庆,1323,现代ix35,12.98,15.58,65,18,428,现代,北京现代,12.98-15.58万,10.88-13.28万
安庆,415,迈腾,18.69,30.99,66,18,1058,大众,一汽-大众,18.69-30.99万,15.69-27.79万
安庆,276,思域,12.99,18.79,67,18,1788,本田,东风本田,12.99-18.79万,11.39-18.79万
安庆,3192,五菱宏光V,4.48,5.18,68,17,27,五菱汽车,上汽通用五菱,4.48-5.18万,4.48-5.18万
安庆,1701,红旗H5经典,14.58,19.08,69,17,847,红旗,一汽红旗,14.58-19.08万,14.58-19.08万
安庆,4223,长安CS55 PLUS,9.29,12.59,70,16,757,长安,长安汽车,9.29-12.59万,8.49-12.29万
安庆,2975,缤越,7.58,11.98,71,16,790,吉利汽车,吉利汽车,7.58-11.98万,7.28-11.98万
安庆,741,博越,9.18,14.28,72,16,1087,吉利汽车,吉利汽车,9.18-14.28万,6.68-13.48万
