城市名,类型,车系id,车系名称,最低价,最高价,排名,本地销量,评论数,降价,品牌名称,子品牌名称,价格区间,经销商价格
安顺,纯电动,1820,秦EV,12.99,16.98,3,33,34,0,比亚迪,比亚迪,12.99-16.98万,12.99-16.98万
安顺,纯电动,5008,海豚,10.28,13.08,4,16,347,0,比亚迪,比亚迪,10.28-13.08万,10.28-13.08万
安阳,纯电动,4629,哪吒V,7.99,12.38,1,132,207,0,哪吒汽车,合众汽车,7.99-12.38万,7.59-12.18万
安阳,纯电动,5008,海豚,10.28,13.08,2,99,347,0,比亚迪,比亚迪,10.28-13.08万,10.28-13.08万
安阳,纯电动,4499,五菱宏光MINIEV,3.28,9.99,3,92,507,0,五菱汽车,上汽通用五菱,3.28-9.99万,3.28-9.99万
安阳,纯电动,1101,小蚂蚁,7.39,9.4,4,40,193,0,奇瑞新能源,奇瑞新能源,7.39-9.40万,7.39-9.40万
安阳,纯电动,3101,AION S,13.98,19.16,5,38,185,0,埃安,广汽埃安新能源,13.98-19.16万,13.98-19.16万
安阳,纯电动,5257,QQ冰淇淋,3.99,5.752,6,30,53,0,奇瑞新能源,奇瑞新能源,3.99-5.752万,3.99-5.75万
安阳,纯电动,5248,元PLUS,13.78,16.58,7,30,348,0,比亚迪,比亚迪,13.78-16.58万,13.78-16.58万
安阳,纯电动,5859,长安Lumin,4.89,6.39,8,28,41,0,长安,长安汽车,4.89-6.39万,4.89-6.39万
安阳,纯电动,4861,奔腾NAT,14.78,16.48,9,26,3,0,奔腾,一汽奔腾,14.78-16.48万,14.68-16.48万
安阳,纯电动,3049,秦Pro EV,14.99,20.49,10,26,29,0,比亚迪,比亚迪,14.99-20.49万,14.99-20.49万
安阳,纯电动,4819,思皓E10X,6.99,8.09,11,24,43,0,思皓,江汽集团,6.99-8.09万,6.99-8.09万
安阳,纯电动,3275,哪吒U,12.98,19.98,12,23,164,0,哪吒汽车,合众汽车,12.98-19.98万,12.98-19.90万
安阳,纯电动,4814,AION Y,13.76,18.98,13,20,317,0,埃安,广汽埃安新能源,13.76-18.98万,13.76-18.98万
安阳,纯电动,4635,欧拉好猫,12.99,17.1,14,15,240,0,欧拉,长城汽车,12.99-17.10万,12.99-17.10万
安阳,纯电动,4224,风光E1,6.78,7.38,15,15,1,0,东风风光,东风小康,6.78-7.38万,6.78-7.38万
安阳,纯电动,5817,几何E,8.68,10.38,16,13,35,0,几何汽车,几何汽车,8.68-10.38万,8.68-10.38万
安阳,纯电动,4300,汉EV,21.48,32.98,17,13,1057,0,比亚迪,比亚迪,21.48-32.98万,21.48-32.98万
北京,纯电动,4363,Model Y,31.69,41.79,1,3315,760,0,特斯拉,特斯拉中国,31.69-41.79万,31.69-41.79万
北京,纯电动,3762,Model 3,29.0988,36.79,2,1526,639,0,特斯拉,特斯拉中国,29.0988-36.79万,27.99-36.79万
北京,纯电动,5092,红旗E-QM5,12.28,20.78,3,1251,17,0,红旗,一汽红旗,12.28-20.78万,12.27-20.77万
北京,纯电动,5248,元PLUS,13.78,16.58,4,896,348,0,比亚迪,比亚迪,13.78-16.58万,13.78-16.58万
北京,纯电动,4540,宋PLUS EV,18.08,19.78,5,729,253,0,比亚迪,比亚迪,18.08-19.78万,18.08-19.78万
北京,纯电动,5008,海豚,10.28,13.08,6,633,347,0,比亚迪,比亚迪,10.28-13.08万,10.28-13.08万
北京,纯电动,4300,汉EV,21.48,32.98,7,629,1057,0,比亚迪,比亚迪,21.48-32.98万,21.48-32.98万
北京,纯电动,3049,秦Pro EV,14.99,20.49,8,535,29,0,比亚迪,比亚迪,14.99-20.49万,14.99-20.49万
北京,纯电动,4586,ID.4 CROZZ,18.73,28.73,9,476,347,0,大众,一汽-大众,18.73-28.73万,18.43-28.43万
北京,纯电动,4074,北京EU5,12.99,17.19,10,464,19,0,北京汽车,北京汽车,12.99-17.19万,9.98-17.19万
北京,纯电动,4961,ID.6 CROZZ,25.23,33.69,11,461,195,0,大众,一汽-大众,25.23-33.69万,24.73-33.49万
北京,纯电动,4637,极狐 阿尔法S,22.38,42.99,12,282,181,0,ARCFOX极狐,北汽新能源,22.38-42.99万,22.37-42.98万
北京,纯电动,4385,极狐 阿尔法T,21.88,32.53,13,269,113,0,ARCFOX极狐,北汽新能源,21.88-32.53万,21.87-32.52万
北京,纯电动,3077,唐EV,27.98,33.98,14,262,113,0,比亚迪,比亚迪,27.98-33.98万,27.98-33.98万
北京,纯电动,4899,秦PLUS EV,13.88,18.08,15,247,155,0,比亚迪,比亚迪,13.88-18.08万,13.88-18.08万
北京,纯电动,5015,ZEEKR 001,29.9,38.6,16,243,686,0,极氪,极氪,29.90-38.60万,29.90-38.60万
北京,纯电动,2843,蔚来ES6,38.6,55.4,17,239,505,0,蔚来,蔚来,38.60-55.40万,37.47-54.14万
北京,纯电动,3101,AION S,13.98,19.16,18,185,185,0,埃安,广汽埃安新能源,13.98-19.16万,13.98-19.16万
北京,纯电动,5579,海豹,20.98,28.68,19,184,43,0,比亚迪,比亚迪,20.98-28.68万,20.98-28.68万
北京,纯电动,4258,ID.4 X,18.9288,28.6288,20,169,284,0,大众,上汽大众,18.9288-28.6288万,17.92-27.62万
北京,纯电动,5819,蔚来ES7,46.8,54.8,21,165,14,0,蔚来,蔚来,46.80-54.80万,46.80-54.80万
北京,纯电动,4814,AION Y,13.76,18.98,22,165,317,0,埃安,广汽埃安新能源,13.76-18.98万,13.76-18.98万
北京,纯电动,4731,零跑C11,17.98,23.98,23,164,333,0,零跑汽车,零跑汽车,17.98-23.98万,17.98-23.98万
北京,纯电动,4538,宝马iX3,39.99,43.99,24,164,251,0,宝马,华晨宝马,39.99-43.99万,33.70-37.60万
北京,纯电动,3478,蔚来ET7,45.8,53.6,25,162,70,0,蔚来,蔚来,45.80-53.60万,45.80-53.60万
北京,纯电动,3359,微蓝6,17.79,19.69,26,134,82,0,别克,上汽通用别克,17.79-19.69万,12.53-19.39万
北京,纯电动,4426,AION V,18.76,26.98,27,132,124,0,埃安,广汽埃安新能源,18.76-26.98万,18.76-26.98万
北京,纯电动,3352,小鹏P7,23.99,42.99,28,129,695,0,小鹏汽车,小鹏汽车,23.99-42.99万,23.99-42.99万
北京,纯电动,4629,哪吒V,7.99,12.38,29,115,207,0,哪吒汽车,合众汽车,7.99-12.38万,7.99-12.38万
北京,纯电动,5004,小鹏P5,17.79,24.99,30,113,279,0,小鹏汽车,小鹏汽车,17.79-24.99万,17.79-24.99万
北京,纯电动,1616,蔚来ES8,49.6,65.6,31,111,216,0,蔚来,蔚来,49.60-65.60万,48.47-64.34万
北京,纯电动,4499,五菱宏光MINIEV,3.28,9.99,32,107,507,0,五菱汽车,上汽通用五菱,3.28-9.99万,3.28-9.99万
北京,纯电动,5343,问界M5,25.98,33.18,33,104,271,0,AITO,赛力斯汽车,25.98-33.18万,25.98-33.18万
北京,纯电动,5306,长安深蓝SL03,16.89,69.99,34,77,84,0,长安深蓝,长安汽车,16.89-69.99万,16.89-69.99万
北京,纯电动,5217,大众ID.3,14.9888,18.5288,35,75,180,0,大众,上汽大众,14.9888-18.5288万,14.18-17.72万
北京,纯电动,2819,小鹏G3,16.89,20.19,36,74,185,0,小鹏汽车,小鹏汽车,16.89-20.19万,16.89-20.19万
北京,纯电动,4894,ID.6 X,25.3288,33.8888,37,73,111,0,大众,上汽大众,25.3288-33.8888万,24.53-33.38万
北京,纯电动,3275,哪吒U,12.98,19.98,38,68,164,0,哪吒汽车,合众汽车,12.98-19.98万,12.98-19.98万
北京,纯电动,5817,几何E,8.68,10.38,39,64,35,0,几何汽车,几何汽车,8.68-10.38万,8.68-10.38万
北京,纯电动,4334,奥迪Q4 e-tron,29.99,37.71,40,60,9,0,奥迪,一汽-大众奥迪,29.99-37.71万,29.99-37.71万
北京,纯电动,4635,欧拉好猫,12.99,17.1,41,49,240,0,欧拉,长城汽车,12.99-17.10万,12.99-17.10万
北京,纯电动,4380,几何C,12.98,20.78,42,49,120,0,几何汽车,几何汽车,12.98-20.78万,12.08-20.48万
北京,纯电动,5859,长安Lumin,4.89,6.39,43,43,41,0,长安,长安汽车,4.89-6.39万,4.89-6.39万
北京,纯电动,1101,小蚂蚁,7.39,9.4,44,43,193,0,奇瑞新能源,奇瑞新能源,7.39-9.40万,7.39-9.40万
北京,纯电动,4981,元Pro,9.28,11.28,45,39,130,0,比亚迪,比亚迪,9.28-11.28万,9.28-11.28万
北京,纯电动,5813,奔驰EQE,52.8,58.5,46,35,11,0,奔驰,北京奔驰,52.80-58.50万,47.70-53.40万
北京,纯电动,4585,东风本田M-NV,14.98,15.98,47,31,17,0,思铭,东风本田,14.98-15.98万,11.98-12.98万
北京,纯电动,4890,福特电马,27.59,38.99,48,29,221,0,福特,福特新能源,27.59-38.99万,27.59-38.99万
北京,纯电动,3157,几何A,12.68,20.78,49,28,160,0,几何汽车,几何汽车,12.68-20.78万,12.38-20.48万
北京,纯电动,1729,奔驰EQA,32.18,36.58,50,28,35,0,奔驰,北京奔驰,32.18-36.58万,21.68-26.08万
北京,纯电动,3349,北京EU7,15.99,17.59,51,27,17,0,北京汽车,北京汽车,15.99-17.59万,13.40-17.59万
北京,纯电动,5063,上汽大通MAXUS MIFA 9,27.99,41.99,52,26,9,0,上汽大通MAXUS,上汽大通,27.99-41.99万,27.99-41.99万
北京,纯电动,4357,蔚来EC6,39.6,55.4,53,26,257,0,蔚来,蔚来,39.60-55.40万,38.47-54.14万
北京,纯电动,4224,风光E1,6.78,7.38,54,25,1,0,东风风光,东风小康,6.78-7.38万,6.78-7.38万
北京,纯电动,1793,菱智M5 EV,14.99,17.39,55,25,6,0,东风风行,东风风行,14.99-17.39万,14.99-17.39万
北京,纯电动,4649,思皓E50A,14.59,18.98,56,24,6,0,思皓,江汽集团,14.59-18.98万,14.59-18.98万
北京,纯电动,4582,荣威i6 MAX EV,14.68,18.18,57,24,6,0,荣威,上汽集团,14.68-18.18万,14.68-17.98万
北京,纯电动,3503,AION LX,28.66,46.96,58,24,53,0,埃安,广汽埃安新能源,28.66-46.96万,28.66-46.96万
北京,纯电动,3932,奔驰EQB,35.18,43.78,59,22,42,0,奔驰,北京奔驰,35.18-43.78万,22.53-31.13万
北京,纯电动,3408,国机智骏GX5,11.58,13.98,60,22,3,0,国机智骏,国机智骏,11.58-13.98万,11.58-13.98万
北京,纯电动,5322,smart精灵#1,19.42,27.9,61,21,22,0,smart,smart,19.42-27.90万,19.42-27.90万
北京,纯电动,4272,零跑T03,7.95,9.65,62,19,305,0,零跑汽车,零跑汽车,7.95-9.65万,7.95-9.65万
北京,纯电动,5106,零跑C01,19.38,28.68,63,18,12,0,零跑汽车,零跑汽车,19.38-28.68万,19.38-28.68万
北京,纯电动,5818,荣威iMAX8 EV,25.98,35.98,64,17,5,0,荣威,上汽集团,25.98-35.98万,25.98-35.98万
北京,纯电动,5089,合创Z03,13.28,17.88,65,17,51,0,合创汽车,合创汽车,13.28-17.88万,13.28-17.88万
北京,纯电动,4924,沃尔沃C40 RECHARGE,27.834,32.8,66,17,7,0,沃尔沃,沃尔沃亚太,27.834-32.80万,25.57-32.80万
北京,纯电动,5093,宝骏KiWi EV,7.78,10.28,67,16,104,0,宝骏,上汽通用五菱,7.78-10.28万,7.78-10.28万
北京,纯电动,4760,岚图FREE,31.36,41.99,68,16,337,0,岚图,岚图汽车,31.36-41.99万,31.36-41.99万
北京,纯电动,3663,Taycan,89.8,183.8,69,16,122,0,保时捷,保时捷,89.80-183.80万,89.80-183.80万
北京,纯电动,4758,名图 纯电动,17.88,20.38,70,15,17,0,现代,北京现代,17.88-20.38万,16.88-19.38万
北京,纯电动,3975,高合HiPhi X,57,80,71,15,219,0,高合,华人运通,57.00-80.00万,57.00-80.00万
北京,纯电动,3719,奔驰EQC,49.19,57.19,72,15,62,0,奔驰,北京奔驰,49.19-57.19万,29.09-37.09万
北京,纯电动,4668,奔驰EQS,107.46,151.36,73,14,38,0,奔驰,梅赛德斯-EQ,107.46-151.36万,88.76-121.26万
北京,纯电动,5297,欧拉芭蕾猫,19.3,22.3,74,13,21,0,欧拉,长城汽车,19.30-22.30万,19.30-22.30万
北京,纯电动,1760,荣威Ei5,14.48,15.88,75,13,31,0,荣威,上汽集团,14.48-15.88万,14.18-15.58万
北京,纯电动,4870,智己L7,36.88,40.88,76,12,81,0,智己汽车,智己汽车,36.88-40.88万,36.88-40.88万
北京,纯电动,4211,宝马i4,44.99,53.99,77,11,27,0,宝马,宝马(进口),44.99-53.99万,44.98-53.98万
北京,纯电动,4087,广汽丰田iA5,15.98,19.28,78,11,13,0,广汽集团,广汽丰田,15.98-19.28万,13.48-16.78万
白城,纯电动,5092,红旗E-QM5,12.28,20.78,1,32,17,0,红旗,一汽红旗,12.28-20.78万,12.28-20.78万
百色,纯电动,4499,五菱宏光MINIEV,3.28,9.99,1,101,507,0,五菱汽车,上汽通用五菱,3.28-9.99万,3.28-9.99万
百色,纯电动,1101,小蚂蚁,7.39,9.4,2,33,193,0,奇瑞新能源,奇瑞新能源,7.39-9.40万,7.39-9.40万
百色,纯电动,5257,QQ冰淇淋,3.99,5.752,3,23,53,0,奇瑞新能源,奇瑞新能源,3.99-5.752万,3.99-5.75万
百色,纯电动,3710,科莱威CLEVER,5.9999,5.9999,4,23,66,0,荣威,上汽集团,5.9999万,6.00万
百色,纯电动,3101,AION S,13.98,19.16,5,20,185,0,埃安,广汽埃安新能源,13.98-19.16万,13.98-19.16万
百色,纯电动,3049,秦Pro EV,14.99,20.49,6,20,29,0,比亚迪,比亚迪,14.99-20.49万,14.99-20.49万
百色,纯电动,3351,启辰D60 EV,12.98,17.88,7,18,10,0,启辰,东风日产启辰,12.98-17.88万,12.98-16.88万
百色,纯电动,4272,零跑T03,7.95,9.65,8,15,305,0,零跑汽车,零跑汽车,7.95-9.65万,7.95-9.65万
百色,纯电动,5859,长安Lumin,4.89,6.39,9,14,41,0,长安,长安汽车,4.89-6.39万,4.89-6.39万
百色,纯电动,1810,风行S50 EV,13.19,15.99,10,14,17,0,东风风行,东风风行,13.19-15.99万,11.50-13.19万
百色,纯电动,4629,哪吒V,7.99,12.38,11,12,207,0,哪吒汽车,合众汽车,7.99-12.38万,7.99-12.38万
白山,纯电动,5092,红旗E-QM5,12.28,20.78,1,16,17,0,红旗,一汽红旗,12.28-20.78万,11.28-20.78万
白银,纯电动,4499,五菱宏光MINIEV,3.28,9.99,1,39,507,0,五菱汽车,上汽通用五菱,3.28-9.99万,3.28-9.99万
白银,纯电动,2986,长安欧尚A600 EV,14.98,14.98,2,20,5,0,长安凯程,长安轻型车,14.98万,14.88万
白银,纯电动,4503,凌宝BOX,4.18,6.88,3,11,7,0,凌宝汽车,吉麦新能源,4.18-6.88万,4.18-6.88万
蚌埠,纯电动,4499,五菱宏光MINIEV,3.28,9.99,1,47,507,0,五菱汽车,上汽通用五菱,3.28-9.99万,3.28-9.99万
蚌埠,纯电动,5008,海豚,10.28,13.08,2,28,347,0,比亚迪,比亚迪,10.28-13.08万,10.28-13.08万
蚌埠,纯电动,5859,长安Lumin,4.89,6.39,3,23,41,0,长安,长安汽车,4.89-6.39万,4.89-6.39万
蚌埠,纯电动,4629,哪吒V,7.99,12.38,4,20,207,0,哪吒汽车,合众汽车,7.99-12.38万,7.99-12.38万
蚌埠,纯电动,1101,小蚂蚁,7.39,9.4,5,19,193,0,奇瑞新能源,奇瑞新能源,7.39-9.40万,7.39-9.40万
蚌埠,纯电动,1820,秦EV,12.99,16.98,6,15,34,0,比亚迪,比亚迪,12.99-16.98万,15.24-16.98万
蚌埠,纯电动,3275,哪吒U,12.98,19.98,7,12,164,0,哪吒汽车,合众汽车,12.98-19.98万,12.98-19.98万
蚌埠,纯电动,5248,元PLUS,13.78,16.58,8,11,348,0,比亚迪,比亚迪,13.78-16.58万,13.78-16.58万
保定,纯电动,4499,五菱宏光MINIEV,3.28,9.99,1,402,507,0,五菱汽车,上汽通用五菱,3.28-9.99万,3.27-9.98万
保定,纯电动,5008,海豚,10.28,13.08,2,163,347,0,比亚迪,比亚迪,10.28-13.08万,10.28-13.08万
保定,纯电动,4363,Model Y,31.69,41.79,3,149,760,0,特斯拉,特斯拉中国,31.69-41.79万,31.69-41.79万
保定,纯电动,5859,长安Lumin,4.89,6.39,4,114,41,0,长安,长安汽车,4.89-6.39万,4.89-6.39万
保定,纯电动,5248,元PLUS,13.78,16.58,5,91,348,0,比亚迪,比亚迪,13.78-16.58万,13.78-16.58万
保定,纯电动,3762,Model 3,29.0988,36.79,6,69,639,0,特斯拉,特斯拉中国,29.0988-36.79万,27.99-36.79万
保定,纯电动,4300,汉EV,21.48,32.98,7,44,1057,0,比亚迪,比亚迪,21.48-32.98万,21.48-32.98万
保定,纯电动,3049,秦Pro EV,14.99,20.49,8,42,29,0,比亚迪,比亚迪,14.99-20.49万,14.99-20.49万
保定,纯电动,5257,QQ冰淇淋,3.99,5.752,9,36,53,0,奇瑞新能源,奇瑞新能源,3.99-5.752万,3.99-5.75万
保定,纯电动,4629,哪吒V,7.99,12.38,10,31,207,0,哪吒汽车,合众汽车,7.99-12.38万,7.99-12.38万
保定,纯电动,3710,科莱威CLEVER,5.9999,5.9999,11,27,66,0,荣威,上汽集团,5.9999万,6.00万
保定,纯电动,4635,欧拉好猫,12.99,17.1,12,23,240,0,欧拉,长城汽车,12.99-17.10万,12.99-17.10万
保定,纯电动,3351,启辰D60 EV,12.98,17.88,13,22,10,0,启辰,东风日产启辰,12.98-17.88万,12.48-17.88万
保定,纯电动,4540,宋PLUS EV,18.08,19.78,14,21,253,0,比亚迪,比亚迪,18.08-19.78万,18.08-19.78万
保定,纯电动,1101,小蚂蚁,7.39,9.4,15,18,193,0,奇瑞新能源,奇瑞新能源,7.39-9.40万,7.39-9.40万
保定,纯电动,1820,秦EV,12.99,16.98,16,16,34,0,比亚迪,比亚迪,12.99-16.98万,12.49-16.98万
保定,纯电动,4861,奔腾NAT,14.78,16.48,17,15,3,0,奔腾,一汽奔腾,14.78-16.48万,14.78-16.48万
保定,纯电动,5817,几何E,8.68,10.38,18,14,35,0,几何汽车,几何汽车,8.68-10.38万,8.68-10.38万
保定,纯电动,5093,宝骏KiWi EV,7.78,10.28,19,14,104,0,宝骏,上汽通用五菱,7.78-10.28万,7.77-10.27万
保定,纯电动,5788,元宝,3.39,4.99,20,13,0,0,北汽制造,北京汽车制造厂,3.39-4.99万,3.39-4.99万
保定,纯电动,5306,长安深蓝SL03,16.89,69.99,21,11,84,0,长安深蓝,长安汽车,16.89-69.99万,16.89-69.99万
保定,纯电动,4224,风光E1,6.78,7.38,22,11,1,0,东风风光,东风小康,6.78-7.38万,6.78-7.38万
宝鸡,纯电动,4499,五菱宏光MINIEV,3.28,9.99,1,97,507,0,五菱汽车,上汽通用五菱,3.28-9.99万,3.28-9.99万
宝鸡,纯电动,5008,海豚,10.28,13.08,2,15,347,0,比亚迪,比亚迪,10.28-13.08万,11.13-14.33万
宝鸡,纯电动,5093,宝骏KiWi EV,7.78,10.28,3,13,104,0,宝骏,上汽通用五菱,7.78-10.28万,7.78-10.28万
宝鸡,纯电动,1820,秦EV,12.99,16.98,4,13,34,0,比亚迪,比亚迪,12.99-16.98万,12.99-16.98万
宝鸡,纯电动,5248,元PLUS,13.78,16.58,5,12,348,0,比亚迪,比亚迪,13.78-16.58万,13.78-16.58万
宝鸡,纯电动,4629,哪吒V,7.99,12.38,6,11,207,0,哪吒汽车,合众汽车,7.99-12.38万,7.99-12.38万
保山,纯电动,4499,五菱宏光MINIEV,3.28,9.99,1,166,507,0,五菱汽车,上汽通用五菱,3.28-9.99万,3.28-9.99万
保山,纯电动,3049,秦Pro EV,14.99,20.49,2,26,29,0,比亚迪,比亚迪,14.99-20.49万,14.99-20.49万
保山,纯电动,5257,QQ冰淇淋,3.99,5.752,3,24,53,0,奇瑞新能源,奇瑞新能源,3.99-5.752万,3.99-5.75万
保山,纯电动,5859,长安Lumin,4.89,6.39,4,23,41,0,长安,长安汽车,4.89-6.39万,4.89-6.39万
保山,纯电动,5008,海豚,10.28,13.08,5,22,347,0,比亚迪,比亚迪,10.28-13.08万,10.28-13.08万
保山,纯电动,3157,几何A,12.68,20.78,6,14,160,0,几何汽车,几何汽车,12.68-20.78万,12.68-20.78万
包头,纯电动,5008,海豚,10.28,13.08,1,37,347,0,比亚迪,比亚迪,10.28-13.08万,10.28-13.08万
包头,纯电动,3710,科莱威CLEVER,5.9999,5.9999,2,33,66,0,荣威,上汽集团,5.9999万,6.00万
包头,纯电动,5343,问界M5,25.98,33.18,3,30,271,0,AITO,赛力斯汽车,25.98-33.18万,25.98-33.18万
包头,纯电动,4499,五菱宏光MINIEV,3.28,9.99,4,29,507,0,五菱汽车,上汽通用五菱,3.28-9.99万,3.28-9.99万
包头,纯电动,5859,长安Lumin,4.89,6.39,5,26,41,0,长安,长安汽车,4.89-6.39万,4.89-6.39万
包头,纯电动,5257,QQ冰淇淋,3.99,5.752,6,19,53,0,奇瑞新能源,奇瑞新能源,3.99-5.752万,3.99-5.75万
包头,纯电动,5248,元PLUS,13.78,16.58,7,16,348,0,比亚迪,比亚迪,13.78-16.58万,13.78-16.58万
包头,纯电动,5122,创维EV6,14.68,27.28,8,16,7,0,创维汽车,创维汽车,14.68-27.28万,14.68-27.28万
包头,纯电动,4540,宋PLUS EV,18.08,19.78,9,16,253,0,比亚迪,比亚迪,18.08-19.78万,18.08-19.78万
包头,纯电动,4819,思皓E10X,6.99,8.09,10,15,43,0,思皓,江汽集团,6.99-8.09万,6.99-8.09万
包头,纯电动,1820,秦EV,12.99,16.98,11,15,34,0,比亚迪,比亚迪,12.99-16.98万,12.99-16.98万
包头,纯电动,4629,哪吒V,7.99,12.38,12,13,207,0,哪吒汽车,合众汽车,7.99-12.38万,7.99-12.38万
包头,纯电动,4300,汉EV,21.48,32.98,13,12,1057,0,比亚迪,比亚迪,21.48-32.98万,21.48-32.98万
巴彦淖尔,纯电动,4499,五菱宏光MINIEV,3.28,9.99,1,25,507,0,五菱汽车,上汽通用五菱,3.28-9.99万,3.28-9.99万
巴中,纯电动,5008,海豚,10.28,13.08,1,23,347,0,比亚迪,比亚迪,10.28-13.08万,10.28-13.08万
巴中,纯电动,5306,长安深蓝SL03,16.89,69.99,2,18,84,0,长安深蓝,长安汽车,16.89-69.99万,16.89-69.99万
北海,纯电动,4499,五菱宏光MINIEV,3.28,9.99,1,124,507,0,五菱汽车,上汽通用五菱,3.28-9.99万,3.28-9.99万
北海,纯电动,1101,小蚂蚁,7.39,9.4,2,66,193,0,奇瑞新能源,奇瑞新能源,7.39-9.40万,7.04-9.05万
北海,纯电动,4629,哪吒V,7.99,12.38,3,50,207,0,哪吒汽车,合众汽车,7.99-12.38万,7.99-12.38万
北海,纯电动,3049,秦Pro EV,14.99,20.49,4,49,29,0,比亚迪,比亚迪,14.99-20.49万,14.99-20.49万
北海,纯电动,3351,启辰D60 EV,12.98,17.88,5,44,10,0,启辰,东风日产启辰,12.98-17.88万,12.98-16.88万
北海,纯电动,1655,东风风神E70,14.28,15.38,6,40,16,0,东风风神,东风乘用车,14.28-15.38万,14.18-14.98万
北海,纯电动,5859,长安Lumin,4.89,6.39,7,26,41,0,长安,长安汽车,4.89-6.39万,4.89-6.39万
北海,纯电动,3101,AION S,13.98,19.16,8,26,185,0,埃安,广汽埃安新能源,13.98-19.16万,13.98-19.16万
北海,纯电动,5152,威马E.5,16.01,19.01,9,24,50,0,威马汽车,威马汽车,16.01-19.01万,16.01-19.01万
