品牌名称,品牌ID,能源类型,车系名称,车系ID,标签,批发价,报价,官方指导价,是否享受补贴,补贴价,懂车分,车辆照片,dt
宝马,4,纯电,宝马i3,4838,中型轿车销量NO.19,34.99万,暂无报价,34.99万,FALSE,暂无报价,3.96,http://p3-dcd.byteimg.com/img/motor-img/94241ecfc28d879558c1ab99514cafc0~tplv-resize:640:0.png,2023/1/5
埃安,242,纯电,AION S,3101,新增车型,13.98-19.16万,暂无报价,13.98万,FALSE,暂无报价,3.76,http://p1-dcd.byteimg.com/img/motor-img/7d99d3eef9fba8765615b27ad9825cd7~tplv-resize:640:0.png,2023/1/5
哪吒汽车,199,纯电,哪吒S,5090,,20.28-34.18万,33.80万,20.28万,FALSE,暂无报价,0,http://p1-dcd.byteimg.com/img/tos-cn-i-0000c0030/6e68d1a231974405a454fb210bed5485~tplv-resize:640:0.png,2023/1/5
长安,35,纯电,长安Lumin,5859,微型轿车销量NO.2,4.99-6.99万,暂无报价,4.99万,FALSE,暂无报价,3.3,http://p1-dcd.byteimg.com/img/motor-img/fa1ac73822c3176cc2c8b823e672b974~tplv-resize:640:0.png,2023/1/5
埃安,242,纯电,AION Y,4814,紧凑型SUV销量NO.5,13.76-18.98万,暂无报价,13.76万,TRUE,13.76-18.98万,3.68,http://p1-dcd.byteimg.com/img/tos-cn-i-0000c0030/07898abe157a44939c84cf5fb4ea3b3c~tplv-resize:640:0.png,2023/1/5
哪吒汽车,199,纯电,哪吒V,4629,小型SUV销量NO.1,8.39-12.38万,暂无报价,8.39万,FALSE,暂无报价,3.12,http://p1-dcd.byteimg.com/img/motor-img/b1c609f886fde261cd413819766215b7~tplv-resize:640:0.png,2023/1/5
AITO,483,纯电,问界M5,5343,中型SUV销量NO.12,25.98-33.18万,25.00-32.00万,25.98万,FALSE,暂无报价,3.94,http://p1-dcd.byteimg.com/img/tos-cn-i-0000c0030/6077f0b6028c4876a38bed6d222c7431~tplv-resize:640:0.png,2023/1/5
保时捷,20,纯电,Taycan,3663,,89.80-183.80万,暂无报价,89.80万,FALSE,暂无报价,4.31,http://p1-dcd.byteimg.com/img/motor-img/65a82e2994543103b5b364a614b1e278~tplv-resize:640:0.png,2023/1/5
红旗,59,纯电,红旗E-QM5,5092,中型轿车销量NO.17,12.28-20.78万,暂无报价,12.28万,FALSE,暂无报价,3.69,http://p1-dcd.byteimg.com/img/motor-img/3174065ca959cf593465c373c7722041~tplv-resize:640:0.png,2023/1/5
蔚来,112,纯电,蔚来ET5,5409,,32.80-38.60万,暂无报价,32.80万,FALSE,暂无报价,4.03,http://p9-dcd.byteimg.com/img/motor-img/6b3472130dfd56454f65df80d9f461f6~tplv-resize:640:0.png,2023/1/5
吉利汽车,73,纯电,熊猫mini,6148,全新车系,5.58万,暂无报价,5.58万,FALSE,暂无报价,0,http://p1-dcd.byteimg.com/img/tos-cn-i-dcdx/86064bae18c84d74a9b735fa7f2f1173~tplv-resize:640:0.png,2023/1/5
欧拉,238,纯电,欧拉闪电猫,5053,中型轿车销量NO.20,18.98-26.98万,暂无报价,18.98万,FALSE,暂无报价,3.9,http://p1-dcd.byteimg.com/img/tos-cn-i-0000c0030/1c5fd853d389409db2bb05a358de007a~tplv-resize:640:0.png,2023/1/5
比亚迪,16,纯电,秦PLUS EV,4899,纯电动销量NO.8,14.18-18.08万,暂无报价,14.18万,TRUE,14.18-18.08万,3.6,http://p1-dcd.byteimg.com/img/motor-img/68a3930d446bee29c91048fa02cf7e87~tplv-resize:640:0.png,2023/1/5
红旗,59,纯电,红旗E-HS9,4146,大型SUV销量NO.2,50.98-77.98万,暂无报价,50.98万,FALSE,暂无报价,4.1,http://p1-dcd.byteimg.com/img/motor-img/fb5c6d20cd6044b28f6eec55dcd6c61c~tplv-resize:640:0.png,2023/1/5
宝马,4,纯电,宝马iX3,4538,中型SUV销量NO.16,39.99-43.99万,47.00-51.00万,39.99万,FALSE,暂无报价,4.05,http://p9-dcd.byteimg.com/img/motor-img/6ed2508e2edf0fc8de32cb00897d2271~tplv-resize:640:0.png,2023/1/5
小鹏汽车,195,纯电,小鹏G9,5461,中大型SUV销量NO.10,30.99-46.99万,暂无报价,30.99万,FALSE,暂无报价,4.06,http://p1-dcd.byteimg.com/img/motor-img/57c7fd76817fb6148dce372c42acc18c~tplv-resize:640:0.png,2023/1/5
比亚迪,16,纯电,宋PLUS EV,4540,纯电动销量NO.16,18.68-20.38万,暂无报价,18.68万,TRUE,18.68-20.38万,3.79,http://p1-dcd.byteimg.com/img/motor-img/04397f3a02b4fdb4ae10cd4687258e9a~tplv-resize:640:0.png,2023/1/5
蔚来,112,纯电,蔚来ET7,3478,中大型轿车销量NO.7,45.80-53.60万,暂无报价,45.80万,FALSE,暂无报价,4.15,http://p1-dcd.byteimg.com/img/tos-cn-i-dcdx/1af00434fff0460b9c82f8ee34320c9d~tplv-resize:640:0.png,2023/1/5
欧拉,238,纯电,欧拉好猫,4635,小型轿车销量NO.4,12.99-17.10万,暂无报价,12.99万,FALSE,暂无报价,3.64,http://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/069edf4c33684b6481b68072a744b47d~tplv-resize:640:0.png,2023/1/5
凯迪拉克,30,纯电,LYRIQ锐歌,5358,中大型SUV销量NO.16,43.97-47.97万,43.97万,43.97万,FALSE,暂无报价,0,http://p1-dcd.byteimg.com/img/tos-cn-i-dcdx/5b605a25ad8a418bb3cdadd026658e20~tplv-resize:640:0.png,2023/1/5
比亚迪,16,纯电,唐EV,3077,中型SUV销量NO.18,28.28-34.28万,暂无报价,28.28万,FALSE,暂无报价,3.92,http://p1-dcd.byteimg.com/img/motor-img/f58dc636881f2b9b087128ded04d42c4~tplv-resize:640:0.png,2023/1/5
福特,7,纯电,福特电马,4890,,24.99-36.99万,暂无报价,24.99万,FALSE,暂无报价,4.03,http://p1-dcd.byteimg.com/img/motor-img/4d6ba7aeed52362922ac58a0b5316957~tplv-resize:640:0.png,2023/1/5
极氪,426,纯电,ZEEKR 009,5878,,49.90-58.80万,暂无报价,49.90万,FALSE,暂无报价,0,http://p1-dcd.byteimg.com/img/tos-cn-i-0000c0030/0d333df1280d4440af8295daff3314ce~tplv-resize:640:0.png,2023/1/5
特斯拉,63,纯电,Model S,1254,,89.00-106.00万,暂无报价,89.00万,FALSE,暂无报价,4.13,http://p3-dcd.byteimg.com/img/tos-cn-i-0000c0030/ce1e2fe380294b79b9f652d55386040a~tplv-resize:640:0.png,2023/1/5
大众,1,纯电,大众ID.3,5217,,14.99-18.53万,暂无报价,16.29万,FALSE,暂无报价,3.84,http://p1-dcd.byteimg.com/img/motor-img/28ea7241eb7d6c429c02f566bfb430be~tplv-resize:640:0.png,2023/1/5
零跑汽车,207,纯电,零跑C11,4731,,18.58-23.98万,暂无报价,18.58万,FALSE,暂无报价,3.83,http://p1-dcd.byteimg.com/img/motor-img/27cf59523211c789cdc05da4019239e4~tplv-resize:640:0.png,2023/1/5
奥迪,2,纯电,奥迪Q4 e-tron,4334,,29.99-37.71万,暂无报价,29.99万,FALSE,暂无报价,0,http://p1-dcd.byteimg.com/img/motor-img/f58bacbe8718f00f2e13d249d1e0da05~tplv-resize:640:0.png,2023/1/5
蔚来,112,纯电,蔚来ES8,1616,2023新款,49.60-65.60万,暂无报价,49.60万,TRUE,48.47-64.34万,4.09,http://p1-dcd.byteimg.com/img/tos-cn-i-dcdx/3ca48627ea6c44d197c8002339e9107a~tplv-resize:640:0.png,2023/1/5
大众,1,纯电,ID.4 CROZZ,4586,,19.39-29.39万,暂无报价,19.39万,FALSE,暂无报价,3.94,http://p1-dcd.byteimg.com/img/motor-img/7e2fd510a9feb583b38a4ae9def165f9~tplv-resize:640:0.png,2023/1/5
哪吒汽车,199,纯电,哪吒U,3275,,12.38-18.58万,暂无报价,12.38万,TRUE,14.28-17.58万,3.5,http://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/a1d7a3c0d7394709bc0cd788e6c348a3~tplv-resize:640:0.png,2023/1/5
智己汽车,419,纯电,智己L7,4870,中大型轿车销量NO.15,33.88-57.88万,40.88万,33.88万,FALSE,暂无报价,4.11,http://p1-dcd.byteimg.com/img/tos-cn-i-dcdx/2b9f5b7572c6425284d7c82243b15016~tplv-resize:640:0.png,2023/1/5
小鹏汽车,195,纯电,小鹏P5,5004,,17.99-22.59万,暂无报价,17.99万,FALSE,暂无报价,3.83,http://p1-dcd.byteimg.com/img/motor-img/ee76bb9d0563701bfda81cf509b7d468~tplv-resize:640:0.png,2023/1/5
smart,48,纯电,smart精灵#1,5322,,19.42-27.90万,19.00-23.00万,19.42万,FALSE,暂无报价,3.72,http://p1-dcd.byteimg.com/img/motor-img/d3dc084ea15c3a5ddb79094343132daa~tplv-resize:640:0.png,2023/1/5
奇瑞新能源,461,纯电,小蚂蚁,1101,微型轿车销量NO.5,7.99-10.30万,暂无报价,7.99万,FALSE,暂无报价,3.16,http://p1-dcd.byteimg.com/img/motor-img/5dd22e1cc56f1a8e0e854cfa3844ba8d~tplv-resize:640:0.png,2023/1/5
几何汽车,264,纯电,几何E,5817,小型SUV销量NO.9,8.68-13.18万,8.78-10.48万,8.68万,FALSE,暂无报价,3.54,http://p1-dcd.byteimg.com/img/motor-img/24b4dde062c27cd62f0a3e0cc6f9ac7a~tplv-resize:640:0.png,2023/1/5
大众,1,纯电,ID.4 X,4258,,18.93-28.63万,暂无报价,19.59万,FALSE,暂无报价,3.89,http://p1-dcd.byteimg.com/img/motor-img/f48fa054209fa14a777a8a7b615a852f~tplv-resize:640:0.png,2023/1/5
高合,249,纯电,高合HiPhi Z,5431,,61.00-63.00万,60.00-80.00万,61.00万,FALSE,暂无报价,0,http://p1-dcd.byteimg.com/img/motor-img/192162a7af84b3b059801c4d261ddeb7~tplv-resize:640:0.png,2023/1/5
ARCFOX极狐,176,纯电,极狐 阿尔法S,4637,,22.38-42.99万,暂无报价,22.38万,FALSE,暂无报价,3.95,http://p1-dcd.byteimg.com/img/motor-img/434138527be4981719eaad42469e3fd2~tplv-resize:640:0.png,2023/1/5
阿维塔,475,纯电,阿维塔 11,5308,,34.99-60.00万,暂无报价,34.99万,FALSE,暂无报价,0,http://p1-dcd.byteimg.com/img/motor-img/5bda964d202365c9e2d3a2b387f72421~tplv-resize:640:0.png,2023/1/5
特斯拉,63,纯电,Model X,1255,,94.00-100.00万,暂无报价,94.00万,FALSE,暂无报价,4.07,http://p1-dcd.byteimg.com/img/tos-cn-i-0000c0030/66d9129567b043c6898ba9322d823412~tplv-resize:640:0.png,2023/1/5
名爵,34,纯电,MG MULAN,5828,,12.98-18.68万,暂无报价,12.98万,TRUE,12.98-18.68万,0,http://p1-dcd.byteimg.com/img/motor-img/4ea84fa64f03b8933c18236449d0598b~tplv-resize:640:0.png,2023/1/5
零跑汽车,207,纯电,零跑C01,5106,中大型轿车销量NO.10,19.38-28.68万,18.00-27.00万,19.38万,FALSE,暂无报价,4.03,http://p1-dcd.byteimg.com/img/tos-cn-i-0000c0030/0ee943406efb4097923418a8e25cc8a1~tplv-resize:640:0.png,2023/1/5
比亚迪,16,纯电,比亚迪e2,3455,,9.58-15.08万,暂无报价,9.58万,TRUE,9.58-15.08万,3.37,http://p1-dcd.byteimg.com/img/tos-cn-i-0000c0030/cd1d9f3f188a481dae82b85e31058e82~tplv-resize:640:0.png,2023/1/5
宝马,4,纯电,宝马i4,4211,,44.99-53.99万,暂无报价,44.99万,FALSE,暂无报价,4.05,http://p1-dcd.byteimg.com/img/motor-img/295e2c8b0e0692af1445206d311b31b3~tplv-resize:640:0.png,2023/1/5
零跑汽车,207,纯电,零跑T03,4272,微型轿车销量NO.6,8.25-9.95万,暂无报价,8.25万,FALSE,暂无报价,3.48,http://p1-dcd.byteimg.com/img/motor-img/846a572aec5fdc674e7cc599e765d102~tplv-resize:640:0.png,2023/1/5
埃安,242,纯电,AION V,4426,,18.98-26.98万,17.00万,18.98万,TRUE,18.98-26.98万,3.84,http://p1-dcd.byteimg.com/img/tos-cn-i-0000c0030/a48e0d0fb3e649839124a0ae5c94328a~tplv-resize:640:0.png,2023/1/5
岚图,395,纯电,岚图FREE,4760,,31.36-41.99万,31.36-36.36万,31.36万,FALSE,暂无报价,4.11,http://p1-dcd.byteimg.com/img/tos-cn-i-dcdx/c0af4659b60a49348bcf33568c3f5049~tplv-resize:640:0.png,2023/1/5
奔驰,3,纯电,奔驰EQE,5813,中大型轿车销量NO.20,47.80-53.43万,53.00-59.00万,47.80万,FALSE,暂无报价,0,http://p1-dcd.byteimg.com/img/motor-img/4ea57237b66d26a84ae6dcc9adc0af6f~tplv-resize:640:0.png,2023/1/5
别克,12,纯电,微蓝6,3359,,17.79-19.69万,暂无报价,17.79万,TRUE,16.53-19.39万,3.64,http://p9-dcd.byteimg.com/img/motor-img/d0c37be52fb0043b08cb96540dd7a0d0~tplv-resize:640:0.png,2023/1/5
奇瑞新能源,461,纯电,QQ冰淇淋,5257,微型轿车销量NO.4,3.99-5.75万,2.99-4.39万,3.99万,FALSE,暂无报价,3.06,http://p1-dcd.byteimg.com/img/motor-img/acd76bab1843fbf99d97777565157ab3~tplv-resize:640:0.png,2023/1/5
蔚来,112,纯电,蔚来ES7,5819,中大型SUV销量NO.3,46.80-54.80万,暂无报价,46.80万,FALSE,暂无报价,4.06,http://p1-dcd.byteimg.com/img/motor-img/14d925d0f84e8a36d05c00a891d83c18~tplv-resize:640:0.png,2023/1/5
欧拉,238,纯电,欧拉黑猫,2911,,8.48-9.98万,暂无报价,8.48万,FALSE,暂无报价,3.43,http://p1-dcd.byteimg.com/img/tos-cn-i-dcdx/76d8b7dd596a42668c660711eb63ba36~tplv-resize:640:0.png,2023/1/5
比亚迪,16,纯电,元Pro,4981,,9.88-11.88万,暂无报价,9.88万,TRUE,9.88-11.88万,3.38,http://p1-dcd.byteimg.com/img/motor-img/83bf43c3cb8ae3e3aa7a4c2440847051~tplv-resize:640:0.png,2023/1/5
五菱汽车,39,纯电,五菱Air ev晴空,5896,全新车系,6.78-8.28万,暂无报价,6.78万,FALSE,暂无报价,0,http://p1-dcd.byteimg.com/img/tos-cn-i-dcdx/8c27ef5a5a234a1d8d74da44fb388893~tplv-resize:640:0.png,2023/1/5
奔驰,3,纯电,奔驰EQC,3719,,29.19-37.19万,暂无报价,49.19万,FALSE,暂无报价,4.03,http://p1-dcd.byteimg.com/img/motor-img/af9519c896135b4d911ee16d8d22743f~tplv-resize:640:0.png,2023/1/5
奔驰,3,纯电,奔驰EQA,1729,,21.13万,37.00万,32.18万,FALSE,暂无报价,3.89,http://p1-dcd.byteimg.com/img/tos-cn-i-0000c0030/108a9066ea5645b1a2ad5975cf383059~tplv-resize:640:0.png,2023/1/5
丰田,5,纯电,一汽丰田bZ4X,5860,,19.98-28.48万,20.00-29.00万,19.98万,TRUE,19.98-28.48万,0,http://p1-dcd.byteimg.com/img/motor-img/189c3b232b99c56e0bfb8f4a5acc800b~tplv-resize:640:0.png,2023/1/5
比亚迪,16,纯电,秦EV,1820,,12.99-16.98万,暂无报价,12.99万,TRUE,12.99-16.98万,3.54,http://p3-dcd.byteimg.com/img/tos-cn-i-0000c0030/edf3bade78b54fc49037a1bcabd6a8ae~tplv-resize:640:0.png,2023/1/5
路特斯,85,纯电,路特斯Eletre,5825,,82.80-102.80万,暂无报价,82.80万,FALSE,暂无报价,0,http://p1-dcd.byteimg.com/img/tos-cn-i-dcdx/70ed33cdce124094aad91ba9667dd3f9~tplv-resize:640:0.png,2023/1/5
电动屋,451,纯电,YOUNG光小新,5293,即将上市,暂无报价,暂无报价,暂无报价,FALSE,暂无报价,0,http://p1-dcd.byteimg.com/img/motor-img/e7d3dfb75860d5ec96051db4ae98213a~tplv-resize:640:0.png,2023/1/5
荣威,36,纯电,科莱威CLEVER,3710,微型轿车销量NO.3,6.00万,暂无报价,6.00万,FALSE,暂无报价,3.08,http://p1-dcd.byteimg.com/img/motor-img/0df783917aab490ada07cd607aa9dedf~tplv-resize:640:0.png,2023/1/5
大众,1,纯电,ID.6 X,4894,中大型SUV销量NO.17,25.99-33.89万,暂无报价,25.99万,FALSE,暂无报价,3.99,http://p1-dcd.byteimg.com/img/motor-img/bc5400d7759589d05ac39a0f52362327~tplv-resize:640:0.png,2023/1/5
高合,249,纯电,高合HiPhi X,3975,,57.00-80.00万,暂无报价,57.00万,FALSE,暂无报价,4.16,http://p1-dcd.byteimg.com/img/motor-img/ffeed63a3d77e832e4010a065fbf156c~tplv-resize:640:0.png,2023/1/5
蔚来,112,纯电,蔚来ES6,2843,,38.60-55.40万,暂无报价,38.60万,FALSE,暂无报价,4.04,http://p1-dcd.byteimg.com/img/motor-img/6c923efdd0639f2ae5e921325cb516f2~tplv-resize:640:0.png,2023/1/5
岚图,395,纯电,梦想家 EV,5416,中大型MPV销量NO.9,36.99-68.99万,38.00-60.00万,36.99万,FALSE,暂无报价,4.11,http://p1-dcd.byteimg.com/img/motor-img/f555a18ac28d80c7e938d27b137da439~tplv-resize:640:0.png,2023/1/5
比亚迪,16,纯电,比亚迪e9,4797,,23.58-24.18万,暂无报价,23.58万,TRUE,23.58-24.18万,0,http://p1-dcd.byteimg.com/img/motor-img/1fa7749798e5e6ea432d3b6c87e7be16~tplv-resize:640:0.png,2023/1/5
几何汽车,264,纯电,几何A,3157,纯电动销量NO.18,12.68-20.78万,15.00-17.00万,12.68万,TRUE,12.68-20.78万,3.67,http://p3-dcd.byteimg.com/img/motor-img/ef638ed8ed491bd5bb2a12337d91faa9~tplv-resize:640:0.png,2023/1/5
本田,9,纯电,本田e:NS1,5387,小型SUV销量NO.19,15.00-19.30万,18.00-21.00万,17.50万,TRUE,17.50-21.80万,3.62,http://p1-dcd.byteimg.com/img/tos-cn-i-dcdx/0a57ed27aacd44b481e78ac2404d68e1~tplv-resize:640:0.png,2023/1/5
大众,1,纯电,ID.6 CROZZ,4961,中大型SUV销量NO.7,25.89-33.69万,暂无报价,25.89万,FALSE,暂无报价,3.98,http://p1-dcd.byteimg.com/img/motor-img/6bed7b14097cb1b189b4c7f0fc120484~tplv-resize:640:0.png,2023/1/5
奥迪,2,纯电,奥迪RS e-tron GT,4782,全新车系,146.88万,148.00万,146.88万,FALSE,暂无报价,0,http://p1-dcd.byteimg.com/img/motor-img/359271c66762d7f73b3ae54f893a33da~tplv-resize:640:0.png,2023/1/5
奔驰,3,纯电,奔驰EQS,4668,,84.50-131.40万,暂无报价,84.50万,FALSE,暂无报价,4.3,http://p1-dcd.byteimg.com/img/tos-cn-i-0000c0030/28eafe9daed145deb0a1df142b331f6f~tplv-resize:640:0.png,2023/1/5
小鹏汽车,195,纯电,小鹏G3,2819,,16.89-20.19万,暂无报价,16.89万,FALSE,暂无报价,3.72,http://p1-dcd.byteimg.com/img/motor-img/5fe645aae83133a591bb27313ec66986~tplv-resize:640:0.png,2023/1/5
奔驰,3,纯电,奔驰EQB,3932,,35.18-42.37万,44.00万,35.18万,FALSE,暂无报价,3.91,http://p1-dcd.byteimg.com/img/motor-img/a4f302cd33c3df9cc8cd03a164467797~tplv-resize:640:0.png,2023/1/5
宝骏,366,纯电,宝骏KiWi EV,5093,微型轿车销量NO.9,7.78-10.28万,6.98-7.88万,7.78万,TRUE,8.78-10.28万,3.54,http://p9-dcd.byteimg.com/img/motor-img/efdc6c8ac11f8f256a1a69c114935b01~tplv-resize:640:0.png,2023/1/5
蔚来,112,纯电,蔚来EC6,4357,,39.60-55.40万,暂无报价,39.60万,FALSE,暂无报价,4.02,http://p1-dcd.byteimg.com/img/motor-img/7ee326810d8b5c4cd7ec4b12c72161e4~tplv-resize:640:0.png,2023/1/5
宝马,4,纯电,宝马i7,4296,全新车系,145.90万,暂无报价,145.90万,FALSE,暂无报价,0,http://p1-dcd.byteimg.com/img/tos-cn-i-dcdx/c504819f53f34fcb9a91f98c04130846~tplv-resize:640:0.png,2023/1/5
丰田,5,纯电,广汽丰田bZ4X,5570,,19.98-28.78万,22.00-30.00万,19.98万,TRUE,19.98-28.78万,0,http://p1-dcd.byteimg.com/img/motor-img/0534600885eae10c8086cc8cee5d19fb~tplv-resize:640:0.png,2023/1/5
东风EV新能源,417,纯电,东风EV新能源EX1,4125,,6.47-7.17万,暂无报价,6.47万,FALSE,暂无报价,2.96,http://p1-dcd.byteimg.com/img/motor-img/47eb34ef88ec9cb072f2eb11e9164fa2~tplv-resize:640:0.png,2023/1/5
奥迪,2,纯电,奥迪Q5 e-tron,5002,,35.65-47.95万,40.00-52.00万,35.65万,FALSE,暂无报价,3.98,http://p3-dcd.byteimg.com/img/motor-img/6a288e43d3e85af91ecebda0776126cb~tplv-resize:640:0.png,2023/1/5
本田,9,纯电,e:NP1 极湃1,5392,小型SUV销量NO.18,17.50-21.80万,17.50-20.50万,17.50万,TRUE,17.50-21.80万,0,http://p1-dcd.byteimg.com/img/tos-cn-i-dcdx/8f1fca2269d94ce289be76e6a2da2dd8~tplv-resize:640:0.png,2023/1/5
日产,10,纯电,ARIYA 艾睿雅,5895,,25.28-30.08万,暂无报价,28.54万,TRUE,25.28-31.28万,3.9,http://p1-dcd.byteimg.com/img/tos-cn-i-0000c0030/48d6c6c0d6a449009fa84615df0954b8~tplv-resize:640:0.png,2023/1/5
埃安,242,纯电,AION LX,3503,,28.66-46.96万,暂无报价,28.66万,FALSE,暂无报价,3.95,http://p1-dcd.byteimg.com/img/tos-cn-i-0000c0030/a6e6d8f8a40e42a984dfb82e834cfa58~tplv-resize:640:0.png,2023/1/5
劳斯莱斯,41,纯电,闪灵,5374,全新车系,575.00万,暂无报价,575.00万,FALSE,暂无报价,0,http://p1-dcd.byteimg.com/img/tos-cn-i-0000c0030/f812fd6d2cbd44299b366877b1d9ba6e~tplv-resize:640:0.png,2023/1/5
ARCFOX极狐,176,纯电,极狐 阿尔法T,4385,,21.88-32.53万,25.00-33.00万,21.88万,FALSE,暂无报价,3.91,http://p9-dcd.byteimg.com/img/motor-img/929f0f031ceb8130238fac5cc5db9f70~tplv-resize:640:0.png,2023/1/5
欧拉,238,纯电,欧拉芭蕾猫,5297,,19.30-22.30万,19.30-22.30万,19.30万,TRUE,19.30-22.30万,3.69,http://p1-dcd.byteimg.com/img/motor-img/0bedfedf47aa941755f9ae70f4b0233b~tplv-resize:640:0.png,2023/1/5
欧拉,238,纯电,欧拉白猫,2912,,8.68-10.38万,7.58-8.88万,8.68万,FALSE,暂无报价,3.41,http://p1-dcd.byteimg.com/img/tos-cn-i-dcdx/6b6d80c5eab34f69bd88d354b6a43ce7~tplv-resize:640:0.png,2023/1/5
蔚来,112,纯电,蔚来EC7,6224,全新车系,48.80-57.80万,暂无报价,暂无报价,FALSE,暂无报价,0,http://p1-dcd.byteimg.com/img/tos-cn-i-dcdx/885a4f39f1d84a7aadde3c114219c1dd~tplv-resize:640:0.png,2023/1/5
飞凡汽车,401,纯电,飞凡R7,4980,中大型SUV销量NO.11,30.25-36.95万,暂无报价,30.25万,TRUE,28.99-35.69万,4.06,http://p1-dcd.byteimg.com/img/motor-img/2507f6dc00a4a2d327a6a8706ca16275~tplv-resize:640:0.png,2023/1/5
几何汽车,264,纯电,几何C,4380,,12.98-20.78万,13.98万,12.98万,TRUE,12.98-20.78万,3.75,http://p1-dcd.byteimg.com/img/motor-img/14800010db265dbb4e54b322efe6b9fb~tplv-resize:640:0.png,2023/1/5
五菱汽车,39,纯电,五菱Nano EV,5047,,5.68-6.68万,暂无报价,5.68万,FALSE,暂无报价,3.06,http://p3-dcd.byteimg.com/img/motor-img/91d0af2faeadb3a1ce07bee26159a802~tplv-resize:640:0.png,2023/1/5
思皓,235,纯电,花仙子,4819,微型轿车销量NO.13,6.69-9.09万,暂无报价,6.69万,FALSE,暂无报价,3.25,http://p9-dcd.byteimg.com/img/motor-img/53b9b8709c0777afc9aaa852aeee11c9~tplv-resize:640:0.png,2023/1/5
马自达,15,纯电,马自达CX-30 EV,5069,,15.98-20.18万,暂无报价,15.98万,TRUE,15.98-20.18万,3.59,http://p1-dcd.byteimg.com/img/motor-img/79d417ac74b4f57a2935af5f3cdf409e~tplv-resize:640:0.png,2023/1/5
东风EV新能源,417,纯电,纳米BOX,5968,小型SUV销量NO.6,7.47-7.97万,6.60-7.20万,7.47万,FALSE,暂无报价,0,http://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/49485a6aaae1402388ea2f897d97f5a7~tplv-resize:640:0.png,2023/1/5
奥迪,2,纯电,奥迪Q2L e-tron,3337,,17.50万,暂无报价,24.38万,FALSE,暂无报价,3.65,http://p1-dcd.byteimg.com/img/motor-img/5baddc755b3d04932ff63931b637f51d~tplv-resize:640:0.png,2023/1/5
雪佛兰,6,纯电,雪佛兰畅巡,4081,,17.03-18.73万,暂无报价,17.03万,TRUE,17.03-18.73万,3.68,http://p1-dcd.byteimg.com/img/motor-img/017ffe70e741c3fe352de81cc84795ce~tplv-resize:640:0.png,2023/1/5
