carid,类型,page,车系,年款,车型,标题,上牌年限,公里数（万公里）,二手车售价,新车售价,详情页url,车源地,上牌时间,过户次数,上牌地,车身颜色,内饰颜色,车商名称,在售车源数,车商地址,dt
7021120,纯电20w下,85,飞凡ER6 ,2021款, 新动版 620km 智享版,飞凡ER6 2021款 新动版 620km 智享版,1年4个月,1.70万公里,13.68万,18.48万,https://www.dongchedi.com/usedcar/7021120,太原,2021年09月上牌,0次,太原,蓝色,深色,嘉御鸿精品车行,在售车源44辆,太原市晋源区广源路万国二手车质保港,2023/01/05
9259871,纯电20w下,85,几何A ,2022款, Pro 430KM 青苹果Pro,几何A 2022款 Pro 430KM 青苹果Pro,8个月,5.80万公里,10.98万,13.98万,https://www.dongchedi.com/usedcar/9259871,广州,2022年05月上牌,0次,广州,白色,深色,大黄蜂新能源,在售车源9辆,广东省广州市番禺区东环街道迎星中路番禺公园汇,2023/01/05
9034835,纯电20w下,85,哪吒V ,2021款, 标准续航娱乐版,哪吒V 2021款 标准续航娱乐版,2个月,1.02万公里,6.75万,6.29万,https://www.dongchedi.com/usedcar/9034835,佛山,2022年10月上牌,0次,佛山,深灰色,深色,佛山粤动汇汽贸,在售车源19辆,佛山市南海区潭头工业区G11-G15,2023/01/05
8942205,纯电20w下,85,宝骏E200 ,2020款, 305KM 智行版,宝骏E200 2020款 305KM 智行版,1年7个月,1.30万公里,4.30万,5.48万,https://www.dongchedi.com/usedcar/8942205,柳州,2021年05月上牌,0次,柳州,红色,深色,恒森二手车,在售车源38辆,柳州市鱼峰区九头山路17号九头山二手车市场B区12,2023/01/05
8917458,纯电20w下,85,零跑T03 ,2022款, 星钻版,零跑T03 2022款 星钻版,10个月,0.80万公里,7.98万,9.95万,https://www.dongchedi.com/usedcar/8917458,南京,2022年02月上牌,0次,南京,红色,深色,诚信车业,在售车源7辆,江苏省江宁区恒原通二手车市场,2023/01/05
8907731,纯电20w下,85,欧拉黑猫 ,2021款, 351km 豪华型,欧拉黑猫 2021款 351km 豪华型,2年4个月,2.50万公里,6.60万,7.98万,https://www.dongchedi.com/usedcar/8907731,洛阳,2020年09月上牌,0次,洛阳,其他,深色,洛阳众信好车,在售车源10辆,河南省洛阳市众德汇汽车公园洛阳众信好车,2023/01/05
8551410,纯电20w下,85,欧拉好猫GT ,2022款, 木兰版 480km长续航,欧拉好猫GT 2022款 木兰版 480km长续航,7个月,0.50万公里,13.98万,16.90万,https://www.dongchedi.com/usedcar/8551410,深圳,2022年05月上牌,0次,深圳,白色,深色,欧易二手车,在售车源2辆,深圳市龙岗区欧易园山街道荷坳社区龙岗大道7182号荷花路111号,2023/01/05
8533159,纯电20w下,85,海豚EV ,2019款, 智慧版,海豚EV 2019款 智慧版,2年,8.20万公里,7.98万,14.88万,https://www.dongchedi.com/usedcar/8533159,长沙,2020年12月上牌,0次,长沙,白色,深色,湖南中驰新能源汽车,在售车源2辆,湖南省长沙市岳麓区学士街道白鹤小区14栋9号,2023/01/05
8487394,纯电20w下,85,金旅海狮EV ,2020款, 龙运GLE650 41.08kWh,金旅海狮EV 2020款 龙运GLE650 41.08kWh,1年6个月,7万公里,5.38万,12.98万,https://www.dongchedi.com/usedcar/8487394,东莞,2021年07月上牌,0次,东莞,白色,深色,东莞信赖,在售车源66辆,东莞市联合二手车市场,2023/01/05
8377955,纯电20w下,85,哪吒V ,2021款, 长续航智享版,哪吒V 2021款 长续航智享版,1年6个月,4.10万公里,5.96万,7.59万,https://www.dongchedi.com/usedcar/8377955,南京,2021年07月上牌,2次,南京,绿色,深色,优车捕手南京海洋店,在售车源9辆,南京市栖霞区仙尧路25号大公二手车交易中心一期四楼401-403室,2023/01/05
8341113,纯电20w下,85,欧拉好猫 ,2022款, 400km标准续航 豪华型 磷酸铁锂,欧拉好猫 2022款 400km标准续航 豪华型 磷酸铁锂,1年1个月,1万公里,9.50万,12.79万,https://www.dongchedi.com/usedcar/8341113,金华,2021年12月上牌,0次,金华,香槟色,浅色,义乌市歆成二手车,在售车源34辆,浙江省义乌市城西街道西站二区56幢,2023/01/05
8254614,纯电20w下,85,AION V ,2021款, Plus 80 领航智驾版 三元锂,AION V 2021款 Plus 80 领航智驾版 三元锂,6个月,0.50万公里,19.38万,23.46万,https://www.dongchedi.com/usedcar/8254614,重庆,2022年06月上牌,1次,重庆,绿色,深色,重庆迈卡靓车馆,在售车源23辆,重庆巴南区西部汽车城x6-4,2023/01/05
8114121,纯电20w下,85,小鹏G3 ,2020款, 520i 悦享版,小鹏G3 2020款 520i 悦享版,2年5个月,2.20万公里,12.78万,16.28万,https://www.dongchedi.com/usedcar/8114121,上海,2020年07月上牌,0次,上海,红色,深色,上海晓娟二手车,在售车源25辆,上海市嘉定区爱特路333号,2023/01/05
7648264,纯电20w下,85,小鹏G3 ,2019款, 悦享版,小鹏G3 2019款 悦享版,3年7个月,9万公里,9.00万,15.58万,https://www.dongchedi.com/usedcar/7648264,厦门,2019年06月上牌,1次,厦门,银灰色,深色,好车居车行,在售车源29辆,厦门市湖里区马垅汽车城,2023/01/05
7414034,纯电20w下,85,欧拉好猫 ,2021款, 500km长续航 波塞冬版 三元锂电池,欧拉好猫 2021款 500km长续航 波塞冬版 三元锂电池,2年2个月,2.10万公里,11.28万,14.39万,https://www.dongchedi.com/usedcar/7414034,成都,2020年11月上牌,0次,成都,其他,深色,汽车人名车,在售车源22辆,四川省成都市 西航港街道顺风路宏盟二手车市场北区F39-41号 汽车人名车,2023/01/05
7349619,纯电20w下,85,ID.4 X ,2021款, Pro 极智长续航版,ID.4 X 2021款 Pro 极智长续航版,1年8个月,1.10万公里,18.50万,23.59万,https://www.dongchedi.com/usedcar/7349619,青岛,2021年05月上牌,0次,青岛,蓝色,深色,品鉴二手车5S店,在售车源47辆,青岛市市北区萍乡路与南昌路路口北,2023/01/05
6810281,纯电20w下,85,ID.4 X ,2021款, Pro 极智长续航版,ID.4 X 2021款 Pro 极智长续航版,1年10个月,2.34万公里,16.58万,23.59万,https://www.dongchedi.com/usedcar/6810281,郑州,2021年03月上牌,0次,郑州,红色,深色,郑州和喜汽车,在售车源36辆,郑州市惠济区天河路英才街交叉口迈卡名车茂一楼和喜汽车,2023/01/05
6404112,纯电20w下,85,小鹏P7 ,2021款, 480G,小鹏P7 2021款 480G,7个月,0.01万公里,19.80万,23.99万,https://www.dongchedi.com/usedcar/6404112,重庆,2022年06月上牌,0次,重庆,黑色,深色,顺星汽车,在售车源8辆,重庆市渝北区金渝大道85号金隆悦二手车广场1楼,2023/01/05
9271909,纯电20w下,85,零跑T03 ,2021款, 400轻享版 三元锂电池,零跑T03 2021款 400轻享版 三元锂电池,1年7个月,1.76万公里,6.43万,5.98万,https://www.dongchedi.com/usedcar/9271909,苏州,2021年06月上牌,0次,苏州,红色,浅色,淘车二手车苏州店,在售车源143辆,苏州高新区马运路248号2幢101室,2023/01/05
9238193,纯电20w下,85,五菱宏光MINIEV ,2020款, 悦享款 磷酸铁锂,五菱宏光MINIEV 2020款 悦享款 磷酸铁锂,1年11个月,1.69万公里,4.18万,3.88万,https://www.dongchedi.com/usedcar/9238193,昆明,2021年02月上牌,0次,昆明,蓝色,浅色,昆明淘车二手车,在售车源47辆,云南省昆明市盘龙区园博印象旅游文化城6幢1层18102室,2023/01/05
9054013,纯电20w下,85,五菱宏光MINIEV ,2021款, 马卡龙臻享款 三元锂,五菱宏光MINIEV 2021款 马卡龙臻享款 三元锂,1年3个月,0.52万公里,3.98万,4.36万,https://www.dongchedi.com/usedcar/9054013,西安,2021年10月上牌,0次,西安,绿色,浅色,万晟名车,在售车源13辆,陕西省西咸新区沣东新城三桥西户路1号诚成二手车交易市场内东区九排2号,2023/01/05
9042302,纯电20w下,85,AION Y ,2021款, 70 悦享科技版,AION Y 2021款 70 悦享科技版,1年3个月,1.90万公里,11.80万,13.56万,https://www.dongchedi.com/usedcar/9042302,广州,2021年10月上牌,0次,广州,黑色,浅色,永评二手车,在售车源16辆,广州市海珠区广州大道南1468号宝利捷二手车交易市场,2023/01/05
9033782,纯电20w下,85,五菱宏光MINIEV ,2021款, 马卡龙臻享款 磷酸铁锂,五菱宏光MINIEV 2021款 马卡龙臻享款 磷酸铁锂,1年6个月,0.32万公里,3.98万,4.36万,https://www.dongchedi.com/usedcar/9033782,泉州,2021年06月上牌,0次,泉州,其他,深色,泉州上品好车新能源,在售车源23辆,福建省泉州市南安市S308福建福山轴承有限公司上品好车,2023/01/05
9004769,纯电20w下,85,ID.4 CROZZ ,2021款, 长续航PRO两驱版,ID.4 CROZZ 2021款 长续航PRO两驱版,1年4个月,1.67万公里,18.90万,23.99万,https://www.dongchedi.com/usedcar/9004769,佛山,2021年09月上牌,1次,佛山,深灰色,浅色,淘车二手车佛山门店,在售车源93辆,佛山市禅城区魁奇西路世纪车城4栋淘车二手车,2023/01/05
8898010,纯电20w下,85,宝骏KiWi EV ,2021款, 艺术家 磷酸铁锂,宝骏KiWi EV 2021款 艺术家 磷酸铁锂,1年,0.20万公里,7.20万,8.68万,https://www.dongchedi.com/usedcar/8898010,赣州,2022年01月上牌,0次,赣州,绿色,深色,赣州品诚伯乐二手车,在售车源15辆,江西省赣州市经济技术开发区金岭西路152号,2023/01/05
8806719,纯电20w下,86,Model 3 ,2020款, 改款 标准续航后驱升级版,Model 3 2020款 改款 标准续航后驱升级版,1年7个月,2.30万公里,18.99万,26.97万,https://www.dongchedi.com/usedcar/8806719,温州,2021年06月上牌,1次,温州,黑色,深色,阿海二手车帮卖,在售车源6辆,温州市双屿街道广龙大厦一层5幢11室,2023/01/05
8746726,纯电20w下,86,小蚂蚁 ,2019款, 小蚂蚁 4座智享版 30.6kWh,小蚂蚁 2019款 小蚂蚁 4座智享版 30.6kWh,2年7个月,3.35万公里,5.78万,6.98万,https://www.dongchedi.com/usedcar/8746726,菏泽,2020年06月上牌,0次,菏泽,深灰色,浅色,淘车二手车菏泽店,在售车源74辆,菏泽市牡丹区黄河路南京路交叉口,2023/01/05
8727774,纯电20w下,86,欧拉好猫 ,2022款, 莫兰迪版 400km标准续航 尊贵型 磷酸铁锂,欧拉好猫 2022款 莫兰迪版 400km标准续航 尊贵型 磷酸铁锂,4个月,0.09万公里,11.90万,15.10万,https://www.dongchedi.com/usedcar/8727774,温州,2022年09月上牌,0次,温州,绿色,深色,鸿辉精品车行,在售车源8辆,温州市瓯海经济开发区蛟凤北路1号3#车间一层109-1、110号,2023/01/05
8715403,纯电20w下,86,小鹏P7 ,2020款, 670N,小鹏P7 2020款 670N,1年8个月,3.10万公里,19.99万,28.29万,https://www.dongchedi.com/usedcar/8715403,上海,2021年05月上牌,0次,上海,白色,深色,上海陆峰桦二手车,在售车源15辆,上海市嘉定区爱特路370号,2023/01/05
8713284,纯电20w下,86,宝骏KiWi EV ,2021款, 艺术家 三元锂,宝骏KiWi EV 2021款 艺术家 三元锂,5个月,0.03万公里,7.20万,8.68万,https://www.dongchedi.com/usedcar/8713284,唐山,2022年07月上牌,1次,唐山,黑色,深色,斑马线名车,在售车源20辆,唐山市兴瑭二手车市场B区9号展厅斑马线名车,2023/01/05
8604422,纯电20w下,86,小鹏G3 ,2020款, 520i 悦享版,小鹏G3 2020款 520i 悦享版,2年1个月,1.20万公里,13.50万,16.28万,https://www.dongchedi.com/usedcar/8604422,上海,2020年12月上牌,0次,上海,白色,深色,上海陆峰桦二手车,在售车源15辆,上海市嘉定区爱特路370号,2023/01/05
8551069,纯电20w下,86,小鹏P7 ,2020款, 670N,小鹏P7 2020款 670N,1年4个月,2.30万公里,19.99万,28.29万,https://www.dongchedi.com/usedcar/8551069,昆明,2021年09月上牌,0次,昆明,白色,深色,云南吉迈隆,在售车源1辆,云南省昆明市盘龙区人民东路机场高速延长线与金瓦路交汇车行天下二期新东集A座3L楼E区,2023/01/05
8474136,纯电20w下,86,AION S ,2019款, 炫 630,AION S 2019款 炫 630,2年8个月,7.80万公里,9.60万,15.38万,https://www.dongchedi.com/usedcar/8474136,西安,2020年05月上牌,0次,西安,白色,深色,车鼎轩二手车,在售车源152辆,陕西省西安市未央区阿房一路,2023/01/05
8231405,纯电20w下,86,AION V ,2020款, 70 智领版,AION V 2020款 70 智领版,2年3个月,3.70万公里,13.98万,17.76万,https://www.dongchedi.com/usedcar/8231405,广州,2020年10月上牌,1次,广州,香槟色,深色,君鹏汽车,在售车源4辆,广州市海珠区新滘中路181号广骏二手车聚德分场,2023/01/05
8153623,纯电20w下,86,Model 3 ,2021款, 标准续航后驱升级版,Model 3 2021款 标准续航后驱升级版,1年8个月,2.78万公里,18.78万,26.67万,https://www.dongchedi.com/usedcar/8153623,绍兴,2021年04月上牌,1次,绍兴,黑色,浅色,绍兴彼特二手车,在售车源28辆,浙江省绍兴市柯桥区华舍街道禹会路700号中国轻纺城跨境电商产业园内2号楼四楼403-13室(承诺申报),2023/01/05
8077671,纯电20w下,86,五菱宏光MINIEV ,2020款, 悦享款 磷酸铁锂,五菱宏光MINIEV 2020款 悦享款 磷酸铁锂,8个月,0.20万公里,4.18万,3.88万,https://www.dongchedi.com/usedcar/8077671,南宁,2022年05月上牌,0次,南宁,红色,深色,微吧汽车,在售车源10辆,南宁江南区沙井大道60号沙井车汇城3栋10号,2023/01/05
7959096,纯电20w下,86,零跑T03 ,2020款, 400 标准版,零跑T03 2020款 400 标准版,2年2个月,5.40万公里,5.45万,6.58万,https://www.dongchedi.com/usedcar/7959096,南昌,2020年11月上牌,1次,南昌,白色,浅色,鸿胜二手车,在售车源19辆,江西省南昌市青山湖区高兴新村50号楼 ,2023/01/05
7829966,纯电20w下,86,合创007 ,2021款, PLUS版,合创007 2021款 PLUS版,1年4个月,2.60万公里,19.88万,29.98万,https://www.dongchedi.com/usedcar/7829966,东莞,2021年09月上牌,0次,东莞,红色,浅色,东莞胜新二手车,在售车源9辆,东莞市寮步镇东莞汽车城二路13号2栋204室,2023/01/05
7792005,纯电20w下,86,东风小康EC36 ,2020款, 标准型宁德时代电池,东风小康EC36 2020款 标准型宁德时代电池,2年1个月,11.20万公里,5.38万,10.79万,https://www.dongchedi.com/usedcar/7792005,广州,2020年12月上牌,1次,广州,白色,浅色,广州卡纳思新能源,在售车源4辆,广州市白云区,2023/01/05
7525111,纯电20w下,86,欧拉好猫 ,2021款, 400km标准续航 公务版 三元锂电池,欧拉好猫 2021款 400km标准续航 公务版 三元锂电池,1年,0.90万公里,11.70万,14.09万,https://www.dongchedi.com/usedcar/7525111,郑州,2022年01月上牌,0次,郑州,蓝色,深色,郑州江河名车,在售车源26辆,郑州市金水区文化路北三环东北角恒通二手车市场,2023/01/05
7467367,纯电20w下,86,凌宝BOX ,2022款, 蔡文姬Pro版,凌宝BOX 2022款 蔡文姬Pro版,4个月,0.10万公里,5.68万,5.28万,https://www.dongchedi.com/usedcar/7467367,三明,2022年08月上牌,0次,三明,绿色,深色,顺隆二手车,在售车源29辆,三明市三元区德安工业园18号1栋（顺隆二手车城） 三明市三元区江滨南路209号（顺隆二手车）,2023/01/05
